timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,funding_rate,vol_score,proceeds,matched_trades
2025-07-15 00:42:00+00:00,buy,0.008828922006487707,119309.1054313099,0,119330.7,1053.5814606741574,0.2106741573033708,0.0,,,0.0,0.0,0.4758142857142853,0.0,0.0,,
2025-07-15 00:51:00+00:00,sell,0.008814977086398324,119500.0,0,119537.0,,0.21067795236491993,0.0,,,0.0,0.0,0.5052857142857143,0.0,0.0,1053.1790838722347,1.0
2025-07-15 01:02:00+00:00,buy,0.008829030074912847,119309.1054313099,0,119281.9,1053.5943567999957,0.21067673601279657,0.0,,,0.0,0.0,0.4688428571428563,0.0,0.0,,
2025-07-15 01:19:00+00:00,buy,0.010609033772951446,119118.51580602027,1,119040.9,1263.9851036413536,0.25274647143398393,0.0,,,0.0,0.0,0.43441428571428486,0.0,0.0,,
2025-07-15 01:20:00+00:00,buy,0.012393423100405428,118928.23063700106,2,119048.8,1474.2226664431269,0.29478557617339074,0.0,,,0.0,0.0,0.43554285714285756,0.0,0.0,,
2025-07-15 01:22:00+00:00,buy,0.014180881445106833,118738.24943790042,3,118776.0,1684.1498008860444,0.3367626076556778,0.0,,,0.0,0.0,0.3965714285714286,0.0,0.0,,
2025-07-15 01:24:00+00:00,sell,0.01417023494023517,118928.23063700106,3,118786.8,,0.33704819383055584,0.0,,,0.0,0.0,0.39811428571428614,0.0,0.0,1684.9039209589487,1.0
2025-07-15 01:27:00+00:00,sell,0.01238085320151867,119118.51580602027,2,119166.6,,0.2949577715554237,0.0,,,0.0,0.0,0.4523714285714294,0.0,0.0,1474.493900005563,1.0
2025-07-15 01:35:00+00:00,sell,0.010595161720816242,119309.1054313099,1,119190.1,,0.2528198533621288,0.0,,,0.0,0.0,0.45572857142857226,0.0,0.0,1263.8464469572818,1.0
2025-07-15 01:54:00+00:00,buy,0.010609641177438948,119118.51580602027,1,119099.5,1264.0574712330229,0.25276094205819294,0.0,,,0.0,0.0,0.4427857142857143,0.0,0.0,,
2025-07-15 01:55:00+00:00,buy,0.012393724294140887,118928.23063700106,2,118906.5,1474.2584940452516,0.2947927402609981,0.0,,,0.0,0.0,0.4152142857142857,0.0,0.0,,
2025-07-15 01:58:00+00:00,buy,0.014180916399711642,118738.24943790042,3,118620.9,1684.1539521647192,0.33676343774539474,0.0,,,0.0,0.0,0.37441428571428487,0.0,0.0,,
2025-07-15 01:59:00+00:00,buy,0.015972024110088447,118548.57172314338,4,118517.9,1893.8393379077513,0.37869212915571915,0.0,,,0.0,0.0,0.3596999999999992,0.0,0.0,,
2025-07-15 02:00:00+00:00,buy,0.017769875642538204,118359.19700793069,5,118733.9,2103.6488576240044,0.4206456423963217,0.0,,,0.0,0.0,0.39055714285714205,0.0,0.0,,
2025-07-15 02:02:00+00:00,sell,0.017771254253358546,118645.9,5,118709.9,,0.4216972910037105,0.0,,,0.0,0.0,0.3871285714285706,0.0,0.0,2108.064757727549,1.0
2025-07-15 02:03:00+00:00,sell,0.015969501037250235,118738.24943790042,4,118828.1,,0.3792381195119656,0.0,,,0.0,0.0,0.40401428571428655,0.0,0.0,1895.811359440316,1.0
2025-07-15 02:05:00+00:00,buy,0.015974245105562605,118548.57172314338,4,118677.8,1894.1026864081846,0.3787447883239721,0.0,,,0.0,0.0,0.3825428571428576,0.0,0.0,,
2025-07-15 02:06:00+00:00,sell,0.015969164485331887,118738.24943790042,4,118757.5,,0.3792301271948397,0.0,,,0.0,0.0,0.3939285714285714,0.0,0.0,1895.7714058470033,1.0
2025-07-15 02:08:00+00:00,buy,0.0159740028141932,118548.57172314338,4,118595.9,1894.0739573677415,0.37873904366481537,0.0,,,0.0,0.0,0.3708428571428563,0.0,0.0,,
2025-07-15 02:11:00+00:00,buy,0.0177670365681343,118359.19700793069,5,118335.4,2103.3127598511996,0.42057843628298336,0.0,,,0.0,0.0,0.3336285714285706,0.0,0.0,,
2025-07-15 02:13:00+00:00,buy,0.019563750651508477,118170.12480823751,6,118207.9,2312.313226377236,0.46237017124119895,0.0,,,0.0,0.0,0.31541428571428487,0.0,0.0,,
2025-07-15 02:17:00+00:00,buy,0.021361164009186057,117981.3546408122,7,118001.4,2520.7231103216354,0.5040438133016668,0.0,,,0.0,0.0,0.2859142857142849,0.0,0.0,,
2025-07-15 02:18:00+00:00,sell,0.021385930938575715,118170.12480823751,7,118124.0,,0.505435625630368,0.0,,,0.0,0.0,0.30342857142857144,0.0,0.0,2526.6726925262096,1.0
2025-07-15 02:19:00+00:00,buy,0.021362331098416235,117981.3546408122,7,118025.1,2520.8608326289527,0.5040713522553395,0.0,,,0.0,0.0,0.28930000000000083,0.0,0.0,,
2025-07-15 02:38:00+00:00,sell,0.021388612916890395,118170.12480823751,7,118202.8,,0.5054990115728037,0.0,,,0.0,0.0,0.3146857142857147,0.0,0.0,2526.989558852446,1.0
2025-07-15 02:47:00+00:00,sell,0.019578264743657613,118359.19700793069,6,118387.5,,0.46345353877359907,0.0,,,0.0,0.0,0.3410714285714286,0.0,0.0,2316.8042403292216,1.0
2025-07-15 05:16:00+00:00,buy,0.01816037401476753,117604.71847361732,9,117520.1,2136.1728225170073,0.4271491346764662,0.0,-0.4987573284953651,-0.6845273953128228,0.0,0.0,0.2171571428571437,0.0,0.0,,
2025-07-15 05:22:00+00:00,buy,0.021764380121737516,117416.85151119939,10,117416.0,2556.0160899851508,0.5111009977974708,0.0,-0.6056238870279942,-0.4713289871034372,0.0,0.0,0.2022857142857143,0.0,0.0,,
2025-07-15 05:35:00+00:00,buy,0.02835430727391943,117229.28465575019,11,117132.0,3324.619949662635,0.6647910317261818,0.0,-0.9543774257098017,-0.023962415138838185,0.0,0.0,0.16171428571428573,0.0,0.0,,
2025-07-15 05:36:00+00:00,buy,0.02986146820125678,117042.0174278656,12,117032.6,3495.745490929477,0.6990092963266301,0.0,-1.1004069165805264,-0.047410313978078183,0.0,0.0,0.14751428571428654,0.0,0.0,,
2025-07-15 05:41:00+00:00,sell,0.030517665277652265,117229.28465575019,12,117221.3,,0.7155128139725603,0.0,-0.7843816944848673,-0.21058778578506607,0.0,0.0,0.174471428571429,0.0,0.0,3576.8485570488288,1.0
2025-07-15 05:57:00+00:00,sell,0.02868455828210286,117416.85151119939,11,117412.0,,0.6736101040948033,0.0,-0.33373028261301485,-0.5509458657026841,0.0,0.0,0.2017142857142857,0.0,0.0,3367.3769103699215,1.0
2025-07-15 06:01:00+00:00,buy,0.021573116135178295,117229.28465575019,11,117128.1,2529.5067725168383,0.5058001944644748,0.0,-0.924760832121602,-0.6163265618436552,0.0,0.0,0.1611571428571437,0.0,0.0,,
2025-07-15 06:02:00+00:00,buy,0.023738814282095677,116855.04934890734,13,116923.9,2774.5551144817205,0.5548000628837674,0.0,-1.3734703887040818,-0.6618225556179166,0.0,0.0,0.13198571428571346,0.0,0.0,,
2025-07-15 09:11:00+00:00,buy,0.023476884202654338,117022.8,12,117075.8,2747.8801908153123,0.5494661449340756,0.0,0.39519261136434974,-0.5713855855276956,0.0,0.0,0.1536857142857147,0.0,0.0,,
