timestamp,direction,size,price,level,market_price,cost,commission,slippage,proceeds,matched_trades
2025-07-10 18:15:00+00:00,sell,0.05617718705870731,113499.47698935222,19,113507.1,,1.2752162699792573,0.0,6374.806133626307,1.0
2025-07-10 18:24:00+00:00,buy,0.050610224353618546,113318.16792067913,19,113280.9,5736.204913386952,1.1470115803613183,0.0,,
2025-07-10 18:25:00+00:00,buy,0.05003864324188894,113137.14848310615,20,113182.1,5662.361656232836,1.132245882070153,0.0,,
2025-07-10 18:54:00+00:00,sell,0.056229580751682856,113318.16792067913,20,113339.3,,1.274366614745717,0.0,6370.55870711384,1.0
2025-07-10 19:00:00+00:00,sell,0.056169936729739404,113499.47698935222,19,113455.6,,1.2750516882700855,0.0,6373.983389662158,1.0
2025-07-10 19:11:00+00:00,sell,0.05613360393701444,113681.07615253518,18,113675.5,,1.2762657007759977,0.0,6380.052238179212,1.0
2025-07-10 19:22:00+00:00,buy,0.05142734406021864,113499.47698935222,18,113464.9,5838.144049117042,1.167395330757257,0.0,,
2025-07-10 19:30:00+00:00,buy,0.050833110286773876,113318.16792067913,19,113298.3,5761.466990392525,1.1520629854814088,0.0,,
2025-07-10 19:33:00+00:00,buy,0.050244628838146704,113137.14848310615,20,113141.3,5685.670940146629,1.1369068066679922,0.0,,
2025-07-10 19:55:00+00:00,sell,0.05623522987192714,113318.16792067913,20,113315.9,,1.2744946443370062,0.0,6371.1987270406935,1.0
2025-07-10 20:06:00+00:00,sell,0.05619303413199495,113499.47698935222,19,113499.9,,1.275575996885249,0.0,6376.60440842936,1.0
2025-07-10 20:09:00+00:00,buy,0.05098857562666969,113318.16792067913,19,113322.0,5779.087561294183,1.1555863949798406,0.0,,
2025-07-10 20:16:00+00:00,sell,0.0561922961735472,113499.47698935222,19,113482.6,,1.275559245305677,0.0,6376.520667283079,1.0
2025-07-10 21:05:00+00:00,sell,0.05614524531964471,113681.07615253518,18,113670.6,,1.2765303817570601,0.0,6381.375378403543,1.0
2025-07-10 21:16:00+00:00,sell,0.056041798904765884,114045.14661977826,16,114057.9,,1.278259034586031,0.0,6390.016913895568,0.0
2025-07-10 21:17:00+00:00,sell,0.05574729556753666,114960.43202351741,11,114985.9,,1.2817466365173464,0.0,6407.451435950214,0.0
2025-07-10 21:18:00+00:00,sell,0.05544627546791247,115697.94646496893,7,115404.0,,1.2830040421536915,0.0,6413.737206726303,0.0
2025-07-10 21:19:00+00:00,sell,0.05494300716527074,117000.0,0,116437.2,,1.2856663676673352,0.0,6427.046171969008,0.0
2025-07-10 21:20:00+00:00,sell,0.05509363569858594,116626.4966468985,2,115874.5,,1.2850755438133161,0.0,6424.0926435227675,0.0
2025-07-10 21:21:00+00:00,sell,0.055458760160263694,115883.06317931289,6,115647.8,,1.2853462014996397,0.0,6425.445661296698,0.0
2025-07-10 21:22:00+00:00,sell,0.026113974118874388,115648.0,8,115743.1,,0.6040057757799171,0.0,3019.4248731238054,0.0
2025-07-10 21:23:00+00:00,buy,0.055023184599389326,115743.2,0,116277.3,6369.833171615984,1.2737118919448078,0.0,,
