variant,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,sharpe_annualization_days
off,3.5512941460661938,3.0290847237161334,-0.2673135928402489,0.3817711950100854,532,18.41497493734336,365
on,2.830866732217044,5.613104084118476,-0.11994281047527343,0.09339556111397673,381,42.32082239720035,365
