timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,proceeds,matched_trades
2025-08-01 01:05:00+00:00,buy,0.6523995579653171,115144.36871475504,9,115291.2,75135.15927875202,15.024027050340337,0.0,-1.6724797451085742,-0.9975684020184916,0.0,0.0,0.35759999999999975,,
2025-08-01 01:08:00+00:00,sell,0.6759476363880453,115054.0,11,114987.6,,15.554095871398035,0.0,-2.247937448161063,-0.9981526535447787,0.0,0.0,0.3323000000000005,77754.92526111877,0.0
2025-08-01 01:09:00+00:00,buy,0.6436477745106455,114960.43202351741,10,114942.4,74008.82503396505,14.798805245743864,0.0,-2.3103239116941383,-0.9983289847878246,0.0,0.0,0.32853333333333284,,
2025-08-01 01:10:00+00:00,sell,0.6746971170375103,114941.8,12,114906.0,,15.510180217420421,0.0,-2.3518934321968095,-0.9984518826132265,0.0,0.0,0.3255,77535.39090688468,1.0
2025-08-01 01:11:00+00:00,buy,0.6405700754634769,114776.78916086003,11,114790.0,73537.28100952653,14.704515298845537,0.0,-2.5522625262772576,-0.9985794770497107,0.0,0.0,0.31583333333333335,,
2025-08-01 01:14:00+00:00,buy,0.6331456479055608,114593.43965740818,12,114644.1,72568.848465136,14.510867519523297,0.0,-2.7167369767867933,-0.9987699531520666,0.0,0.0,0.3036750000000005,,
2025-08-01 01:15:00+00:00,sell,0.6722400076918461,114776.78916086003,12,114792.0,,15.43150992566839,0.0,-2.381291151901593,-0.9988245535847204,0.0,0.0,0.316,77142.11811841629,1.0
2025-08-01 01:19:00+00:00,sell,0.6722706801317475,114960.43202351741,11,114833.1,,15.456905564937916,0.0,-2.1758574207817216,-0.9992625446116873,0.0,0.0,0.31942500000000046,77269.07091912464,1.0
2025-08-01 01:24:00+00:00,sell,0.6800509517426101,115144.36871475504,10,115152.0,,15.660807506454237,0.0,-1.483509237011203,-0.9995013730775179,0.0,0.0,0.346,78288.37672476472,1.0
2025-08-01 01:36:00+00:00,sell,0.68421971934992,115328.59970469864,9,115387.0,,15.782020424593634,0.0,-0.902261575186029,-0.9994893593488532,0.0,0.0,0.3655833333333333,78894.32010254357,1.0
2025-08-01 01:39:00+00:00,buy,0.6591298089933368,115144.36871475504,9,115188.0,75910.26477476636,15.179017151522968,0.0,-1.275822799711903,-0.9994540315506224,0.0,0.0,0.349,,
2025-08-01 01:42:00+00:00,sell,0.6834531816163061,115328.59970469864,9,115332.0,,15.764339679905934,0.0,-0.9643420191302472,-0.9993952093948584,0.0,0.0,0.361,78805.93405984975,1.0
2025-08-01 01:48:00+00:00,buy,0.6581261229391756,115144.36871475504,9,115100.5,75794.67286391274,15.155903392104127,0.0,-1.400669309623703,-0.9989993187549834,0.0,0.0,0.34170833333333334,,
2025-08-01 01:53:00+00:00,sell,0.6855785327065698,115328.59970469864,9,115404.5,,15.813362432930127,0.0,-0.7169493277335869,-0.9965328532125658,0.0,0.0,0.36704166666666665,79050.9988022177,1.0
2025-08-01 02:11:00+00:00,sell,0.6869474285719114,115513.12546422616,8,115554.9,,15.87028890079095,0.0,-0.2505930162424572,-0.9684620759296152,0.0,0.0,0.3795749999999995,79335.57421505394,1.0
2025-08-01 02:19:00+00:00,sell,0.6877330518685031,115697.94646496893,7,115695.7,,15.913860363454354,0.0,0.11556808230720808,-0.7372337361973353,0.0,0.0,0.3913083333333331,79553.38795690832,1.0
2025-08-01 02:38:00+00:00,sell,0.6894988743192774,115883.06317931289,6,115954.9,,15.980248322961186,0.0,0.84702278743174,0.5733641582346817,0.0,0.0,0.4129083333333328,79885.26136648297,1.0
2025-08-01 03:50:00+00:00,buy,0.6795542531986786,115697.94646496893,6,115712.8,78638.75621294398,15.724606321324531,0.0,0.41454900730360694,0.9495823690105781,0.0,0.0,0.3927333333333336,,
2025-08-01 04:02:00+00:00,buy,0.6743506073403285,115513.12546422616,7,115533.9,77911.92558184298,15.579269262516094,0.0,-0.08421989033741914,0.7529903840212147,0.0,0.0,0.3778249999999995,,
2025-08-01 04:10:00+00:00,buy,0.6681737484340596,115328.59970469864,8,115330.4,77074.95467489294,15.411908553267935,0.0,-0.6372497974840885,0.3965089341898563,0.0,0.0,0.36086666666666617,,
2025-08-01 04:27:00+00:00,sell,0.6885006970029011,115513.12546422616,8,115555.9,,15.906173479020655,0.0,0.05141165788472466,-0.6254924543755142,0.0,0.0,0.3796583333333329,79514.96122162425,1.0
2025-08-01 04:58:00+00:00,sell,0.6889969336189682,115697.94646496893,7,115679.9,,15.943106068075027,0.0,0.3689997646971271,-0.8538347000999739,0.0,0.0,0.3899916666666662,79699.58723430705,1.0
2025-08-01 05:09:00+00:00,sell,0.6902966514572944,115883.06317931289,6,115897.7,,15.998738094658755,0.0,0.9993695882822432,-0.5587646968343549,0.0,0.0,0.4081416666666664,79977.69173519911,1.0
2025-08-01 05:17:00+00:00,buy,0.6807127377769907,115697.94646496893,6,115628.7,78772.81730652339,15.751413178668944,0.0,0.029941468697217408,-0.09036595333917036,0.0,0.0,0.38572499999999976,,
2025-08-01 05:19:00+00:00,buy,0.6755271752571417,115513.12546422616,7,115476.0,78047.8618010425,15.6064510699945,0.0,-0.5604678017611044,-0.06398561382025633,0.0,0.0,0.373,,
2025-08-01 05:40:00+00:00,sell,0.6912528230795136,115697.94646496893,7,115763.5,,15.995306423682443,0.0,0.44247159409167985,0.1355820800134246,0.0,0.0,0.39695833333333336,79960.53681198854,1.0
2025-08-01 05:44:00+00:00,buy,0.676482381271217,115513.12546422616,7,115506.3,78158.22270095699,15.628518836424114,0.0,-0.7210477203538966,0.15081918888417178,0.0,0.0,0.3755250000000002,,
2025-08-01 06:29:00+00:00,buy,0.669599810812373,115328.59970469864,8,115258.0,77239.45334523081,15.444801708704423,0.0,-2.094536081185454,-0.7016024790666703,0.0,0.0,0.35483333333333333,,
2025-08-01 06:36:00+00:00,buy,0.6647765498052156,115144.36871475504,9,115181.9,76560.5852189272,15.309055232738894,0.0,-2.2526523772412075,-0.7981038705122481,0.0,0.0,0.3484916666666662,,
2025-08-01 07:13:00+00:00,buy,0.6560031367057279,114960.43202351741,10,114919.6,75429.48688527392,15.082880800894605,0.0,-2.4587732007372667,-0.9797682825700905,0.0,0.0,0.32663333333333383,,
2025-08-01 07:32:00+00:00,buy,0.6495857816474426,114776.78916086003,11,114795.4,74572.2817761014,14.911474060408198,0.0,-2.4897353635219637,-0.9903798784795321,0.0,0.0,0.31628333333333286,,
2025-08-01 07:57:00+00:00,sell,0.683342267891514,114960.43202351741,11,114983.6,,15.711464467347723,0.0,-1.1899219389718771,-0.9936415794633064,0.0,0.0,0.33196666666666713,78541.61087227127,1.0
2025-08-01 08:04:00+00:00,buy,0.6515984801899164,114776.78916086003,11,114846.1,74803.33905457053,14.957676275658974,0.0,-1.5458650873370767,-0.992905468089763,0.0,0.0,0.32050833333333384,,
2025-08-01 08:05:00+00:00,buy,0.6411184867188976,114593.43965740818,12,114582.0,73482.66621559505,14.693594524214166,0.0,-2.345582919860819,-0.9933097598321615,0.0,0.0,0.2985,,
2025-08-01 08:06:00+00:00,buy,0.6376631611236117,114410.38304453691,13,114569.5,72969.87757484618,14.591057303508535,0.0,-2.3465735891827437,-0.9937259278441586,0.0,0.0,0.2974583333333333,,
2025-08-01 08:07:00+00:00,sell,0.674820066717507,114593.43965740818,13,114583.7,,15.465990519000163,0.0,-2.267434915329531,-0.9940624869105527,0.0,0.0,0.2986416666666664,77314.4866044818,1.0
2025-08-01 08:09:00+00:00,sell,0.6775735898390102,114776.78916086003,12,114704.0,,15.553944212383824,0.0,-1.857400255373741,-0.9940244684788584,0.0,0.0,0.30866666666666664,77754.16711770673,1.0
2025-08-01 08:15:00+00:00,buy,0.6413783638485367,114593.43965740818,12,114540.4,73512.45238581153,14.699550567048897,0.0,-2.1965282805854716,-0.9939698315463785,0.0,0.0,0.29503333333333287,,
2025-08-01 08:24:00+00:00,buy,0.6325739589200887,114410.38304453691,13,114366.0,72387.50354983532,14.474605788809303,0.0,-2.4295437782538456,-0.9953354054030245,0.0,0.0,0.2805,,
2025-08-01 08:35:00+00:00,buy,0.6213257016311848,114227.61885436991,14,114138.0,70986.74994143701,14.19451108607019,0.0,-2.636694018283959,-0.9961825352195519,0.0,0.0,0.2615,,
2025-08-01 08:36:00+00:00,sell,0.6637008662121604,114227.61885436991,15,114189.5,,15.162593915799564,0.0,-2.4684775287781218,-0.9963768891062244,0.0,0.0,0.26579166666666665,75797.80698508202,0.0
2025-08-01 08:38:00+00:00,sell,0.6753804231929456,114410.38304453691,14,114548.0,,15.454106583657268,0.0,-1.5549078329344923,-0.9963197378947549,0.0,0.0,0.2956666666666667,77255.07881170268,1.0
2025-08-01 08:42:00+00:00,sell,0.6737546300930322,114593.43965740818,13,114549.4,,15.44157210949305,0.0,-1.4876597740281814,-0.9954447548255569,0.0,0.0,0.29578333333333284,77192.41897535574,1.0
2025-08-01 08:54:00+00:00,sell,0.6784659689068271,114776.78916086003,12,114753.9,,15.574429093207504,0.0,-0.8983068682882027,-0.9897267964912156,0.0,0.0,0.3128249999999995,77856.57103694431,1.0
2025-08-01 09:00:00+00:00,buy,0.6492898613828528,114593.43965740818,12,114652.8,74419.23942225297,14.880871710108574,0.0,-1.0846218151640734,-0.9894671081739852,0.0,0.0,0.3044000000000002,,
2025-08-01 09:01:00+00:00,sell,0.6859642072480033,114960.43202351741,11,115046.0,,15.77174832358002,0.0,-0.15360354157385456,-0.9882241889499624,0.0,0.0,0.33716666666666667,78842.96986957653,1.0
2025-08-01 09:18:00+00:00,sell,0.6871395912455807,115144.36871475504,10,115157.7,,15.824050890577439,0.0,0.2702341617002496,-0.8282417507168304,0.0,0.0,0.34647499999999976,79104.43040199662,1.0
2025-08-01 09:31:00+00:00,sell,0.6888642798449489,115328.59970469864,9,115304.2,,15.889150556220725,0.0,0.7452540646370917,0.34820680132754467,0.0,0.0,0.3586833333333331,79429.8636305474,1.0
2025-08-01 09:34:00+00:00,buy,0.6687691395096936,115144.36871475504,9,115169.3,77020.40138483056,15.401000076950723,0.0,0.38681511863319235,0.5847684354172946,0.0,0.0,0.3474416666666669,,
2025-08-01 09:59:00+00:00,buy,0.6613151399005708,114960.43202351741,10,114951.8,76040.27920149981,15.205014837332495,0.0,-0.10644178722762893,0.9528516202471616,0.0,0.0,0.3293166666666669,,
2025-08-01 10:14:00+00:00,sell,0.6882490444617617,115144.36871475504,10,115162.0,,15.849600348616585,0.0,0.7619865756445047,0.9150419670997597,0.0,0.0,0.3468333333333333,79232.1521427343,1.0
2025-08-01 10:35:00+00:00,buy,0.6621921418641683,114960.43202351741,10,114961.2,76141.11989022538,15.225178942256626,0.0,0.12334112141133505,0.6305987258984987,0.0,0.0,0.3300999999999998,,
2025-08-01 10:51:00+00:00,sell,0.6817431316749718,114841.9,12,114772.7,,15.65853531070079,0.0,-0.5859808694344208,0.07796599826836009,0.0,0.0,0.3143916666666664,78277.01801819324,1.0
2025-08-01 10:52:00+00:00,buy,0.6595109045043918,114772.8,11,114796.0,75709.05192312975,15.138782628100332,0.0,-0.48409720385255395,0.03474288800936456,0.0,0.0,0.31633333333333336,,
2025-08-01 11:13:00+00:00,sell,0.6851824017437218,114960.43202351741,11,114961.8,,15.753772983873906,0.0,0.35678041683948264,-0.6425893034075332,0.0,0.0,0.3301500000000002,78753.11114638565,0.0
2025-08-01 11:19:00+00:00,buy,0.6609932988270375,114776.78916086003,11,114836.1,75881.86183391148,15.173337699242447,0.0,-0.16424225098948836,-0.7164084490238382,0.0,0.0,0.3196750000000005,,
2025-08-01 11:27:00+00:00,sell,0.6875954080505051,114960.43202351741,11,115044.1,,15.809253033374562,0.0,0.7271148803776051,-0.7540212736989922,0.0,0.0,0.3370083333333338,79030.45591383943,1.0
2025-08-01 11:34:00+00:00,sell,0.6880526776330143,115144.36871475504,10,115143.9,,15.845078241710057,0.0,1.1037525491046947,-0.6522054993270529,0.0,0.0,0.3453249999999995,79209.54613030858,1.0
2025-08-01 11:49:00+00:00,sell,0.6893383990304041,115328.59970469864,9,115300.0,,15.90008645657106,0.0,1.592478118500447,-0.07894314687486026,0.0,0.0,0.35833333333333334,79484.53219639872,1.0
2025-08-01 12:09:00+00:00,sell,0.6905965952928477,115513.12546422616,8,115493.9,,15.954594231446027,0.0,2.004604836608339,0.9129271285754921,0.0,0.0,0.37449166666666617,79757.01656299869,1.0
2025-08-01 12:17:00+00:00,buy,0.6807531377536374,115328.59970469864,8,115335.9,78526.00818293117,15.702061224341367,0.0,1.2835059241010003,0.9591647327443349,0.0,0.0,0.3613249999999995,,
2025-08-01 12:30:00+00:00,sell,0.6919718001756869,115513.12546422616,8,115566.0,,15.986365074280112,0.0,2.0664268652710014,0.9771669316419433,0.0,0.0,0.3805,79915.83900632628,1.0
2025-08-01 12:31:00+00:00,sell,0.6912911769991184,115697.94646496893,7,115651.9,,15.99619391762987,0.0,2.372511924683858,0.9790616213329143,0.0,0.0,0.3876583333333328,79964.97339423173,1.0
2025-08-01 12:44:00+00:00,sell,0.6913063152875658,115883.06317931289,6,115881.2,,16.022138682145396,0.0,2.9833320717732223,0.992399280034792,0.0,0.0,0.40676666666666644,80094.67127204483,1.0
2025-08-01 12:45:00+00:00,buy,0.6913328990910053,115697.94646496893,6,115760.0,80001.7939078526,15.99715934970058,0.0,2.484249286454247,0.9929642631876366,0.0,0.0,0.39666666666666667,,
2025-08-01 12:46:00+00:00,sell,0.6916655627208292,115883.06317931289,6,115846.1,,16.030464820746573,0.0,2.760328695049477,0.9935666305501657,0.0,0.0,0.40384166666666715,80136.2936389121,1.0
2025-08-01 12:50:00+00:00,buy,0.691762981451407,115697.94646496893,6,115644.0,80051.56350569107,16.007111278882437,0.0,1.870730078302383,0.9947562564575668,0.0,0.0,0.387,,
2025-08-01 12:54:00+00:00,sell,0.6923489345037689,115883.06317931289,6,115882.8,,16.046303063846043,0.0,2.586547683183749,0.9955945113943341,0.0,0.0,0.40690000000000026,80215.46901616636,1.0
2025-08-01 12:56:00+00:00,buy,0.6923094085859366,115697.94646496893,6,115674.1,80114.79664714835,16.019755378354002,0.0,1.8087176327099597,0.9959144840611621,0.0,0.0,0.38950833333333384,,
