variant,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,sharpe_annualization_days
off,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298,1.84334451901566,365
on,1.08569581710169,1.9817188959805787,-0.5475907378443093,0.3012680652594031,26,4.357051282051281,365
