timestamp,direction,size,price,level,market_price,proceeds,commission,slippage,matched_trades,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,funding_rate,vol_score
2025-09-26 00:07:00+00:00,sell,0.5728983674540825,109264.66350833315,32,109240.0,62585.027834874854,12.519509468868746,0.0,1,,,0.0,0.0,0.14,2.88955042256e-05,0.0
2025-09-26 00:50:00+00:00,sell,0.5736833589665004,109090.11931742527,33,109067.1,62570.66944286082,12.516637216015367,0.0,2,,,0.0,0.0,0.12919375000000036,2.88955042256e-05,0.0
2025-09-26 00:51:00+00:00,sell,0.5654597006826069,109264.66350833315,32,109368.3,61772.40696982329,12.356952784521564,0.0,1,,,0.0,0.0,0.14801875000000017,2.88955042256e-05,0.0
2025-09-26 00:54:00+00:00,sell,0.5724233256370095,109439.48696994649,31,109486.8,62633.185944327466,12.529143017468988,0.0,1,,,0.0,0.0,0.15542500000000017,2.88955042256e-05,0.0
2025-09-26 01:01:00+00:00,sell,0.5713445154985568,109614.59014909841,30,109533.1,62615.16936132945,12.525538980061903,0.0,1,,,0.0,0.0,0.15831875000000037,2.88955042256e-05,0.0
2025-09-26 01:02:00+00:00,sell,4.236887511543941e-05,109531.1,31,109429.1,4.639781355257274,0.0009281418994313411,0.0,0,,,0.0,0.0,0.15181875000000036,2.88955042256e-05,0.0
2025-09-26 02:04:00+00:00,sell,0.5706255603823046,109789.97349333698,29,109799.9,62636.435355963986,12.529793029798757,0.0,1,,,0.0,0.0,0.17499374999999964,2.88955042256e-05,0.0
2025-09-26 10:51:00+00:00,sell,0.5757165867636139,108915.8539511035,34,108934.1,62692.122748437345,12.540932736234717,0.0,1,-1.6856892276728195,-0.9880061541309204,0.0,0.0,0.12088125000000037,-1.33862398617e-05,0.0
2025-09-26 11:41:00+00:00,sell,0.00035666952608048863,109090.11931742527,33,109096.7,38.901339332778626,0.007781824231402006,0.0,1,-0.493292008612493,-0.9864114288874892,0.0,0.0,0.13104374999999982,-1.33862398617e-05,0.0
2025-09-26 17:31:00+00:00,sell,0.5700898173442073,109801.6,29,109758.0,62584.2547332841,12.519354817620345,0.0,1,1.8351288093534248,0.9319846136649148,0.0,0.0,0.172375,8.14539567679e-05,0.0
2025-09-26 18:20:00+00:00,sell,0.5686765990452403,110177.0,27,110129.0,62642.55063667684,12.531016330601489,0.0,1,2.0807960464897213,0.9970451807030687,0.0,0.0,0.1955625,8.14539567679e-05,0.0
2025-09-28 16:08:00+00:00,sell,0.5679358600245246,110332.8,26,110293.6,62649.421266182486,12.532390731382774,0.0,1,2.8386415325720096,0.9523355207311814,0.0,0.0,0.20585000000000037,6.32676962919e-05,1.0
2025-09-28 20:36:00+00:00,sell,0.6528235999583509,110867.0,23,110900.0,72362.11873777118,14.475318811316498,0.0,2,4.267548881123208,0.9136281916318642,0.0,0.0,0.24375,6.32676962919e-05,1.0
2025-09-28 21:34:00+00:00,sell,0.5670193649313957,110672.1,24,110668.3,62740.6732128524,12.550644771524786,0.0,2,0.9205853681229224,0.984901739707041,0.0,0.0,0.2292687500000002,6.32676962919e-05,0.27185827054739403
