timestamp,direction,size,price,level,market_price,cost,commission,slippage,proceeds,matched_trades
2025-07-10 01:06:00+00:00,buy,0.004442469261119758,115697.94646496893,6,110936.5,514.0873676594529,0.10279691414906077,0.0,,
2025-07-10 01:07:00+00:00,buy,0.005005066841286256,115513.12546422616,7,110954.4,578.2665441771363,0.1156301827988675,0.0,,
2025-07-10 01:08:00+00:00,buy,0.0055681909927077266,115328.59970469864,8,110929.0,642.3001044113134,0.12843433401545962,0.0,,
2025-07-10 01:09:00+00:00,buy,0.006133354333078501,115144.36871475504,9,110932.0,706.3624570287886,0.14124424255724627,0.0,,
2025-07-10 01:10:00+00:00,buy,0.006698943337414963,114960.43202351741,10,110900.1,770.2674428543218,0.15402268403405753,0.0,,
2025-07-10 01:11:00+00:00,buy,0.007269283812070129,114776.78916086003,11,110978.4,834.5119244595157,0.16686901108968522,0.0,,
2025-07-10 01:12:00+00:00,buy,0.007838610372905022,114593.43965740818,12,110973.8,898.4329754303785,0.1796506649530851,0.0,,
2025-07-10 01:13:00+00:00,buy,0.0084109747543717,114410.38304453691,13,111012.1,962.495303994281,0.1924605686851192,0.0,,
2025-07-10 01:14:00+00:00,buy,0.008983912050176906,114227.61885436991,14,111023.6,1026.4161236650864,0.20524217629775773,0.0,,
2025-07-10 01:15:00+00:00,buy,0.009557983119386307,114045.14661977826,15,111026.3,1090.259594557025,0.2180083172479554,0.0,,
2025-07-10 01:16:00+00:00,buy,0.010133887537070271,113862.96587437924,16,111036.0,1154.105265706391,0.2307748981616459,0.0,,
2025-07-10 01:17:00+00:00,buy,0.01071189558224316,113681.07615253518,17,111055.8,1217.9833653864746,0.243547963484598,0.0,,
2025-07-10 01:18:00+00:00,buy,0.01129047798175158,113499.47698935222,18,111056.1,1281.719638557779,0.25629266917772026,0.0,,
2025-07-10 01:19:00+00:00,buy,0.011873534755458964,113318.16792067913,19,111103.9,1345.7563026721648,0.26909744104622374,0.0,,
2025-07-10 01:20:00+00:00,buy,0.0010969622447724089,116813.09904153354,0,111152.0,128.16518725529104,0.02562791186868447,0.0,,
2025-07-10 01:21:00+00:00,buy,0.0016477096898804876,116626.4966468985,1,111122.0,192.2050419436332,0.03843332172438177,0.0,,
