timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,breakout_risk_down,breakout_risk_up,proceeds,matched_trades
2025-07-10 00:28:00+00:00,buy,0.43807940019140973,111164.91852586939,31,111162.0,48708.800642305825,9.73981216602796,0.0,,,0.24535002968640365,0.0,,
2025-07-10 00:56:00+00:00,buy,0.40861082765353535,110987.33878381528,32,110924.3,45359.69848518999,9.070125671903618,0.0,,,0.30000000000000004,0.0,,
2025-07-10 01:20:00+00:00,sell,0.5624684388101516,111164.91852586939,32,111152.0,,12.505351634740691,0.0,,,0.2487188714553045,0.0,62514.252822068716,1.0
2025-07-10 01:54:00+00:00,buy,0.46648319187175374,111330.3,30,111339.5,51944.10043877912,10.386742739207982,0.0,,,0.1856537886374557,0.0,,
2025-07-10 01:55:00+00:00,sell,0.5618239875207085,111342.78239551079,31,111343.9,,12.511009197419284,0.0,,,0.1841764119992224,0.0,62542.534977899,1.0
2025-07-10 02:26:00+00:00,buy,0.49390215503630835,111470.4,29,111502.9,55066.48187691585,11.011094156551861,0.0,,,0.1308676276581167,0.0,,
2025-07-10 02:27:00+00:00,sell,0.5610968790079933,111520.93084734361,30,111515.3,,12.51480924850215,0.0,,,0.12671660301321788,0.0,62561.531433262244,0.0
2025-07-10 02:29:00+00:00,buy,0.46399672202942804,111342.78239551079,30,111320.0,51673.01859036355,10.332537210630584,0.0,,,0.19220265900107802,0.0,,
2025-07-10 02:45:00+00:00,buy,0.43673673310935973,111164.91852586939,31,111171.5,48559.513314027005,9.709960670671268,0.0,,,0.2421501913709899,0.0,,
2025-07-10 05:08:00+00:00,buy,0.34406228328752037,110987.33878381528,32,110986.1,38194.19450940464,7.63731143959301,0.0,-1.4026032153333672,-0.17560452915829688,0.42292317041080785,0.0,,
2025-07-10 05:56:00+00:00,sell,0.562340627668251,111164.91852586939,32,111166.9,,12.502510011705477,0.0,0.31460495737961275,-0.5397032888771713,0.55059219224478,0.0,62500.04754851567,1.0
2025-07-10 07:08:00+00:00,sell,0.562101648007402,111342.78239551079,31,111329.9,,12.517192295649233,0.0,2.29699126470618,0.7543497161973508,0.1888775611942544,0.0,62573.444285950514,1.0
2025-07-10 07:45:00+00:00,buy,0.4464242657868071,111164.91852586939,31,111215.3,49636.642477588306,9.925343426832296,0.0,0.6005468187611396,0.7498828911420728,0.2274043229663535,0.0,,
2025-07-10 08:37:00+00:00,sell,0.5624842376687293,111342.78239551079,31,111344.0,,12.525712015130821,0.0,1.3920040029779033,-0.060826850856130904,0.2102781039520584,0.0,62616.03436363897,1.0
2025-07-10 09:10:00+00:00,buy,0.4375073507353695,111164.91852586939,31,111157.9,48645.19609276611,9.727093799793264,0.0,-0.3282928706893981,0.23659724036543178,0.24673118149947257,0.0,,
2025-07-10 11:55:00+00:00,buy,0.4099965902812909,110987.33878381528,32,111007.0,45513.531351851896,9.100886093151749,0.0,-1.2452538537272655,0.0635445423579091,0.29763528426135294,0.0,,
2025-07-10 14:15:00+00:00,sell,0.5638531848482027,111164.91852586939,32,111231.9,,12.536138670840486,0.0,2.144497041020595,-0.29184766644208965,0.37287239858845556,0.0,62668.15721553159,1.0
2025-07-10 14:25:00+00:00,buy,0.39983183518845017,110987.33878381528,32,110804.1,44385.146602884844,8.875254269723024,0.0,-1.0849815540442886,-0.027288989011706177,0.31910229230819437,0.0,,
2025-07-10 14:37:00+00:00,sell,0.5637612142626015,111164.91852586939,32,111164.0,,12.53409389030946,0.0,1.5570527897654738,0.08202572200488789,0.24467633406498512,0.0,62657.935357656985,1.0
2025-07-10 14:43:00+00:00,buy,0.41947238898777983,110987.33878381528,32,111050.0,46565.435371872474,9.311224829408614,0.0,0.713813589714297,0.3944893187346338,0.28311571364250343,0.0,,
2025-07-10 14:50:00+00:00,sell,0.564192199727414,111164.91852586939,32,111199.9,,12.543675983125802,0.0,1.7247991552804798,0.606204492771971,0.23258761923347254,0.0,62705.836239645876,1.0
2025-07-10 15:03:00+00:00,sell,0.10098132663755865,111342.78239551079,31,111249.5,,2.248708375563138,0.0,1.865261966855484,0.8817352266718609,0.21589849842021766,0.0,11241.293169440129,1.0
2025-07-10 15:08:00+00:00,buy,0.43806832427214826,111164.91852586939,31,111153.5,48707.56914239279,9.739565915295499,0.0,1.210661158830691,0.9042326241054456,0.24821350654725227,0.0,,
2025-07-10 15:13:00+00:00,buy,0.4100715866696662,110987.33878381528,32,110983.7,45521.856666145984,9.102550823064584,0.0,0.11736276596886942,0.884667721248433,0.30000000000000004,0.0,,
2025-07-10 15:17:00+00:00,sell,0.5647240063826091,111164.91852586939,32,111236.5,,12.555499631825057,0.0,1.7292855671201928,0.8509231627693318,0.22027122392380202,0.0,62764.94265949346,1.0
2025-07-10 15:22:00+00:00,sell,0.2834159045592053,111342.78239551079,31,111298.0,,6.31126307775249,0.0,2.0279944754744657,0.8485500349227838,0.19959388308864492,0.0,31550.004125684696,2.0
2025-07-10 15:23:00+00:00,buy,0.4331335820767326,111164.91852586939,31,111122.5,48158.88921425041,9.629851872475589,0.0,0.9466634935033493,0.8429247616313361,0.25866048730005176,0.0,,
2025-07-10 15:27:00+00:00,sell,0.4331335820767326,111342.78239551079,31,111354.9,,9.64525963547155,0.0,2.3173133556707346,0.8852340619296143,0.1804834811939144,0.0,48216.65291772228,2.0
2025-07-10 15:41:00+00:00,buy,0.4274855469602584,111164.91852586939,31,111088.1,47530.900278023604,9.504279199764769,0.0,0.591410174199459,0.9199772391506973,0.27026009086481617,0.0,,
