variant,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,sharpe_annualization_days
off,4.643151121230238,3.69406503393553,-0.20847700542195172,0.3662834229045408,298,16.669183445190153,365
on,1.9919967557161669,0.9304189084910732,-0.12135588484982993,0.023494431726429756,378,19.101234567901233,365
