timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,breakout_risk_down,breakout_risk_up,proceeds,matched_trades
2025-07-10 04:43:00+00:00,sell,0.5619755416764565,111164.91852586939,32,111164.9,,12.49439306079892,0.0,0.18177357877865563,-0.5472186614073993,0.3453102140395976,0.0,62459.4709109338,1.0
2025-07-10 05:08:00+00:00,buy,0.41359215306796066,110987.33878381528,32,110986.1,45912.67310936351,9.180698482176268,0.0,-1.4026032153333672,-0.17560452915829688,0.42292317041080785,0.0,,
2025-07-10 05:56:00+00:00,sell,0.5622845615817558,111164.91852586939,32,111166.9,,12.501263495318014,0.0,0.31460495737961275,-0.5397032888771713,0.3385920089627136,0.0,62493.81621309475,1.0
2025-07-10 07:08:00+00:00,sell,0.5622549225188888,111342.78239551079,31,111329.9,,12.520605497765082,0.0,2.29699126470618,0.7543497161973508,0.003673496518011588,0.0,62590.50688332764,1.0
2025-07-10 07:45:00+00:00,buy,0.5241339137043942,111164.91852586939,31,111215.3,58276.956874356765,11.653060762718809,0.0,0.6005468187611396,0.7498828911420728,0.10641152791027596,0.0,,
2025-07-10 08:37:00+00:00,sell,0.5627240106206728,111342.78239551079,31,111344.0,,12.531051412653335,0.0,1.3920040029779033,-0.060826850856130904,0.0,0.0,62642.72601185402,1.0
2025-07-10 09:10:00+00:00,buy,0.5072892902548279,111164.91852586939,31,111157.9,56404.05117474811,11.278554524044813,0.0,-0.3282928706893981,0.23659724036543178,0.1579498173319268,0.0,,
2025-07-10 10:43:00+00:00,buy,0.28808196048402035,110987.33878381528,32,110958.0,31979.844835774802,6.394690029149131,0.0,-2.1351873695783485,-0.7209184396992367,0.8046429077894658,0.0,,
2025-07-10 11:07:00+00:00,sell,0.5633156716444806,111164.91852586939,32,111166.7,,12.524188148540816,0.0,-0.060208955709992885,-0.5935926608614172,0.3578648121354908,0.0,62608.41655455554,1.0
2025-07-10 11:55:00+00:00,buy,0.4608190431038808,110987.33878381528,32,111007.0,51155.30827085499,10.2290158510008,0.0,-1.2452538537272655,0.0635445423579091,0.29369409136360775,0.0,,
2025-07-10 14:15:00+00:00,sell,0.5640591460343996,111164.91852586939,32,111231.9,,12.540717802537099,0.0,2.144497041020595,-0.29184766644208965,0.15383745205344346,0.0,62691.04829488296,1.0
2025-07-10 14:25:00+00:00,buy,0.45263791262922554,110987.33878381528,32,110804.1,50247.124770849914,10.047415471075768,0.0,-1.0849815540442886,-0.027288989011706177,0.31910229230819437,0.0,,
2025-07-10 14:37:00+00:00,sell,0.5639552210841176,111164.91852586939,32,111164.0,,12.538407240810917,0.0,1.5570527897654738,0.08202572200488789,0.15247022417329353,0.0,62679.497796813775,1.0
2025-07-10 14:43:00+00:00,buy,0.4757614959395395,110987.33878381528,32,111050.0,52814.063030602454,10.560700466027287,0.0,0.713813589714297,0.3944893187346338,0.2549752363800091,0.0,,
2025-07-10 14:50:00+00:00,sell,0.5644875597720024,111164.91852586939,32,111199.9,,12.550242718184295,0.0,1.7247991552804798,0.606204492771971,0.12023365128926,0.0,62738.663348203285,1.0
2025-07-10 15:03:00+00:00,sell,0.36075797637184304,111342.78239551079,31,111249.5,,8.033559372122989,0.0,1.865261966855484,0.8817352266718609,0.07572932912058031,0.0,40159.76330124282,1.0
2025-07-10 15:08:00+00:00,buy,0.5097092606271056,111164.91852586939,31,111153.5,56673.12078717922,11.332357685898666,0.0,1.210661158830691,0.9042326241054456,0.16190268412600597,0.0,,
2025-07-10 15:13:00+00:00,buy,0.46058108133821735,110987.33878381528,32,110983.7,51128.89224560309,10.223733702380143,0.0,0.11736276596886942,0.884667721248433,0.30000000000000004,0.0,,
2025-07-10 15:17:00+00:00,sell,0.5652797619563558,111164.91852586939,32,111236.5,,12.567855736440228,0.0,1.7292855671201928,0.8509231627693318,0.08738993046347197,0.0,62826.710826464696,1.0
2025-07-10 15:22:00+00:00,sell,0.4050105800089673,111342.78239551079,31,111298.0,,9.019000975563612,0.0,2.0279944754744657,0.8485500349227838,0.032250354903053065,0.0,45085.9858768425,1.0
2025-07-10 15:23:00+00:00,buy,0.5008241434103224,111164.91852586939,31,111122.5,55685.20991301642,11.134815019599365,0.0,0.9466634935033493,0.8429247616313361,0.18976129946680467,0.0,,
2025-07-10 15:27:00+00:00,sell,0.5008241434103224,111342.78239551079,31,111354.9,,11.152630723630725,0.0,2.3173133556707346,0.8852340619296143,0.0,0.0,55752.000987429994,1.0
