trial,breakout_band_atr_mult,breakout_band_pct,breakout_buy_k,breakout_buy_floor,breakout_block_threshold,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,output_dir
12,1.0,0.008,2.0,0.5,0.9,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_breakout_risk_sweep\trial_012
63,2.0,0.008,2.0,0.5,0.95,5.206312608551969,11.930538150816547,-0.1846345619515043,0.5504340844423673,298.0,1.84334451901566,run\results_lean_taogrid_breakout_risk_sweep\trial_063
82,1.2,0.008,1.2,0.7,0.95,5.205368212725124,11.945812145131994,-0.18463456195150363,0.5558364089928265,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_082
118,1.2,0.008,1.2,0.05,0.98,5.2053682127250855,11.945812145131995,-0.18463456195150318,0.552283891746113,298.0,1.84334451901566,run\results_lean_taogrid_breakout_risk_sweep\trial_118
102,2.5,0.008,1.2,0.5,0.7,5.205368212725077,11.945812145131908,-0.18463456195150318,0.553648429391809,295.0,1.8219774011299437,run\results_lean_taogrid_breakout_risk_sweep\trial_102
8,2.0,0.008,1.2,0.7,0.8,5.205368212724898,11.945812145131098,-0.1846345619515052,0.5546855408161971,295.0,1.8219774011299437,run\results_lean_taogrid_breakout_risk_sweep\trial_008
3,1.5,0.008,0.9,0.2,0.95,5.205005410143457,11.951522313579822,-0.1846345619515039,0.5550065342133783,298.0,1.8265659955257272,run\results_lean_taogrid_breakout_risk_sweep\trial_003
71,1.0,0.008,0.9,0.1,0.8,5.205005410143425,11.951522313579634,-0.18463456195150338,0.557698010216467,301.0,1.870874861572536,run\results_lean_taogrid_breakout_risk_sweep\trial_071
73,1.5,0.008,0.9,0.9,0.8,5.2050054101432925,11.951522313579119,-0.18463456195150546,0.5620086272241012,300.0,1.8588333333333333,run\results_lean_taogrid_breakout_risk_sweep\trial_073
57,1.5,0.008,0.4,0.35,0.95,5.204390345239836,11.961017932702227,-0.18463456195150418,0.5628061991068429,301.0,1.8119601328903658,run\results_lean_taogrid_breakout_risk_sweep\trial_057
92,1.5,0.008,0.4,0.35,0.7,5.204390345239457,11.961017932700683,-0.1846345619515047,0.562561677593392,300.0,1.8588333333333333,run\results_lean_taogrid_breakout_risk_sweep\trial_092
67,2.0,0.008,0.2,0.05,0.98,5.204140702310742,11.96480871120996,-0.18463456195150482,0.5664606239339977,302.0,1.8497240618101545,run\results_lean_taogrid_breakout_risk_sweep\trial_067
77,1.2,0.003,1.6,0.35,0.7,5.203889003270379,11.968595219499123,-0.1846345619515032,0.5548896265221236,295.0,1.8219774011299437,run\results_lean_taogrid_breakout_risk_sweep\trial_077
83,0.6,0.003,1.6,0.35,0.8,5.203889003270379,11.968595219499123,-0.1846345619515032,0.5548896265221236,295.0,1.8219774011299437,run\results_lean_taogrid_breakout_risk_sweep\trial_083
84,0.6,0.005,2.0,0.5,0.98,5.203889003270293,11.968595219498741,-0.1846345619515044,0.5553318949675281,298.0,1.8265659955257272,run\results_lean_taogrid_breakout_risk_sweep\trial_084
74,2.0,0.0008,1.6,0.1,0.85,5.2038890032702865,11.96859521949888,-0.18463456195150338,0.5547008941299818,298.0,1.834228187919463,run\results_lean_taogrid_breakout_risk_sweep\trial_074
