time,action,price,support,resistance,atr
2025-10-28 03:30:00,entry_short,113844.0,113064.0,113866.0,260.8815000000001
2025-10-28 16:00:00,entry_long,114870.0,114800.0,115744.5,276.0279999999999
2025-10-28 19:15:00,entry_long,113717.9,113612.0,113866.0,286.63849999999985
2025-10-28 21:30:00,entry_long,113136.2,113064.0,113866.0,303.13099999999974
2025-10-29 05:30:00,entry_long,113174.9,113064.0,113866.0,287.57299999999947
2025-10-29 13:15:00,reverse_short,113546.1,113064.0,113559.9,283.9914999999994
2025-10-29 15:00:00,reverse_long,112271.0,112201.6,113559.9,292.7679999999993
2025-10-29 16:30:00,entry_long,111321.0,111266.0,113559.9,291.66949999999923
2025-10-29 19:00:00,entry_long,111297.7,111266.0,113546.1,318.6319999999991
2025-10-29 20:15:00,entry_long,111344.3,111266.0,113546.1,326.50199999999904
2025-10-30 07:15:00,entry_long,111271.0,111266.0,113546.1,366.7454999999991
2025-10-30 12:45:00,entry_long,108389.3,108382.9,111380.0,384.41499999999934
2025-10-31 01:00:00,entry_long,109759.7,109745.5,111380.0,399.3494999999998
2025-11-01 11:00:00,reverse_short,110188.2,109745.5,110291.9,351.3790000000005
2025-11-01 13:30:00,reverse_long,109782.0,109745.5,110291.9,342.7980000000002
2025-11-01 15:00:00,reverse_short,110193.3,109745.5,110291.9,333.29950000000025
2025-11-02 16:00:00,reverse_long,109829.9,109745.5,110291.9,215.79349999999963
2025-11-02 17:00:00,reverse_short,110224.5,109865.6,110291.9,206.0779999999996
2025-11-02 19:15:00,reverse_long,109970.1,109865.6,110291.9,188.07799999999966
2025-11-02 23:15:00,reverse_short,110189.9,109865.6,110291.9,176.88349999999969
2025-11-03 00:45:00,reverse_long,109769.9,109745.5,110291.9,181.74149999999958
2025-11-03 02:30:00,entry_long,108844.1,108829.8,110291.9,189.93199999999945
2025-11-03 21:00:00,entry_long,106560.0,106536.4,108244.2,293.74849999999896
2025-11-06 10:00:00,entry_long,102882.6,102852.2,104042.1,459.44399999999945
2025-11-06 15:00:00,reverse_short,102224.6,101395.9,102262.0,463.7849999999995
2025-11-06 17:15:00,reverse_long,101418.8,101395.9,102262.0,471.3529999999996
2025-11-07 06:15:00,reverse_short,102250.0,101395.9,102262.0,399.8715000000003
2025-11-07 10:15:00,reverse_long,100674.0,100582.1,102262.0,391.2625000000005
2025-11-07 15:30:00,entry_long,100663.2,100582.1,102262.0,408.4945000000004
2025-11-07 17:45:00,reverse_short,102390.2,101395.9,102451.4,412.7875000000004
2025-11-07 19:15:00,reverse_long,102852.3,102852.2,103510.3,409.5470000000003
2025-11-07 21:00:00,reverse_short,103449.6,102852.2,103510.3,414.6340000000003
2025-11-08 00:30:00,reverse_long,102892.4,102852.2,103510.3,413.2000000000004
2025-11-08 06:30:00,reverse_short,102404.1,101395.9,102451.4,409.96450000000004
2025-11-09 02:45:00,reverse_long,101641.2,101575.1,102262.0,327.20049999999895
2025-11-09 11:00:00,reverse_short,102195.0,101575.1,102262.0,306.0474999999988
2025-11-09 13:45:00,reverse_long,102914.5,102852.2,103510.3,295.6134999999989
2025-11-09 14:15:00,reverse_short,103870.5,102852.2,103931.2,298.3929999999989
2025-11-09 20:15:00,entry_short,104502.5,102852.2,104516.5,271.18999999999875
