variant,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,sharpe_annualization_days
off,5.188091141861569,12.28371408946171,-0.18463456195150427,0.5971105240217398,302,1.8195916114790287,365
on,5.203889003269897,11.968595219497644,-0.18463456195150496,0.5618030872239033,301,1.8326135105204873,365
