Trade_ID,Size,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,ReturnPct,Duration,ExitReason,SL_Price,TP_Price,TrailingEnabled,TrailingActivated
SHORT_254_InZone_Fixed,-95.1453253383672,2025-10-03 15:30:00+00:00,121714.4,2025-10-03 16:00:00+00:00,122502.66783904807,-75000.00000000051,-0.006476372878213853,0 days 00:30:00,SL/Trail,122502.66783904807,119877.735935018,False,False
SHORT_254_InZone_Trail,-222.00575912285674,2025-10-03 15:30:00+00:00,121714.4,2025-10-03 16:00:00+00:00,122502.66783904807,-175000.00000000116,-0.006476372878213855,0 days 00:30:00,SL/Trail,122502.66783904807,,True,False
SHORT_285_InZone_Fixed,-85.3506230159324,2025-10-03 23:15:00+00:00,122275.9,2025-10-05 02:30:00+00:00,123154.6282078304,-74999.99999999943,-0.007186438274675652,1 days 03:15:00,SL/Trail,123154.6282078304,120228.46327575512,False,False
SHORT_285_InZone_Trail,-199.1514537038422,2025-10-03 23:15:00+00:00,122275.9,2025-10-05 02:30:00+00:00,123154.6282078304,-174999.9999999986,-0.007186438274675651,1 days 03:15:00,SL/Trail,123154.6282078304,,True,False
SHORT_394_InZone_Fixed,-102.57588277952553,2025-10-05 02:30:00+00:00,123673.9,2025-10-05 04:30:00+00:00,124405.066020391,-74999.99999999935,-0.005912047896856164,0 days 02:00:00,SL/Trail,124405.066020391,121970.28317248895,False,False
SHORT_394_InZone_Trail,-239.34372648555953,2025-10-05 02:30:00+00:00,123673.9,2025-10-05 04:30:00+00:00,124405.066020391,-174999.99999999846,-0.005912047896856165,0 days 02:00:00,SL/Trail,124405.066020391,,True,False
SHORT_425_InZone_Fixed,-93.45266713368454,2025-10-05 10:15:00+00:00,123021.6,2025-10-06 00:15:00+00:00,123824.14531304828,-74999.99999999942,-0.006523613032575404,0 days 14:00:00,SL/Trail,123824.14531304828,121151.6694205975,False,False
SHORT_425_InZone_Trail,-218.05622331193058,2025-10-05 10:15:00+00:00,123021.6,2025-10-06 00:15:00+00:00,123824.14531304828,-174999.9999999986,-0.0065236130325754035,0 days 14:00:00,SL/Trail,123824.14531304828,,True,False
SHORT_481_InZone_Fixed,-93.96830338183412,2025-10-06 00:15:00+00:00,123668.7,2025-10-06 11:30:00+00:00,124466.84147218602,-74999.99999999965,-0.006453868053808442,0 days 11:15:00,SL/Trail,124466.84147218602,121809.03036980657,False,False
SHORT_481_InZone_Trail,-219.25937455761294,2025-10-06 00:15:00+00:00,123668.7,2025-10-06 11:30:00+00:00,124466.84147218602,-174999.99999999919,-0.006453868053808442,0 days 11:15:00,SL/Trail,124466.84147218602,,True,False
SHORT_526_InZone_Fixed,-92.49893335884875,2025-10-06 11:30:00+00:00,124289.0,2025-10-06 14:00:00+00:00,125099.8201605854,-74999.99999999971,-0.006523667907742417,0 days 02:30:00,SL/Trail,125099.8201605854,122399.78902583601,False,False
SHORT_526_InZone_Trail,-215.8308445039804,2025-10-06 11:30:00+00:00,124289.0,2025-10-06 14:00:00+00:00,125099.8201605854,-174999.9999999993,-0.006523667907742417,0 days 02:30:00,SL/Trail,125099.8201605854,,True,False
