timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,funding_rate,vol_score,proceeds,matched_trades
2025-01-01 14:44:00+00:00,buy,0.06217173587138777,93978.40055627811,30,93979.4,5843.968857059805,1.168560059400081,0.0,0.9295123052867033,0.9879352744313563,0.0,0.0,0.22107777777777746,0.0,1.0,,
2025-01-01 14:47:00+00:00,sell,0.06217173587138777,94136.3406715896,30,94180.6,,1.1705239416266093,0.0,1.6136087974927413,0.9878013657907999,0.0,0.0,0.23225555555555588,0.0,1.0,5851.44918419142,1.0
2025-01-01 15:13:00+00:00,buy,0.062166679673208575,93978.40055627811,30,93959.0,5843.493588607344,1.1684650247165256,0.0,0.5346610371979246,0.9238454608462605,0.0,0.0,0.21994444444444444,0.0,0.5883251275856356,,
2025-01-01 15:19:00+00:00,sell,0.062166679673208575,94136.3406715896,30,94158.2,,1.1704287472277495,0.0,1.2460789065889588,0.8527846521036447,0.0,0.0,0.23101111111111094,0.0,0.7554371564344586,5850.9733073915195,1.0
2025-01-01 15:46:00+00:00,sell,0.062495172858503256,94294.54622108465,29,94322.2,,1.178590793140162,0.0,1.6432249790930125,0.8984577953048548,0.0,0.0,0.24012222222222207,0.0,0.38831109538890685,5891.77537490767,1.0
2025-01-01 15:58:00+00:00,sell,0.06284992963712249,94453.017650852,28,94459.9,,1.1872731026739873,0.0,2.0158744321044613,0.9180161040574527,0.0,0.0,0.2477722222222219,0.0,0.6794589523808225,5935.1782402672625,1.0
2025-01-01 16:12:00+00:00,buy,0.06290082035615593,94294.54622108465,28,94295.1,5932.390553280172,1.1862408624835377,0.0,1.209184072959426,0.9446768779352381,0.0,0.0,0.23861666666666698,0.0,0.6575459996450714,,
2025-01-01 16:19:00+00:00,buy,0.06253827889115854,94136.3406715896,29,94115.3,5888.302151658324,1.1774249453425962,0.0,0.40098962362079893,0.9452150339938415,0.0,0.0,0.22862777777777793,0.0,0.6762587454179539,,
2025-01-01 16:51:00+00:00,buy,0.062190054264274125,93978.40055627811,30,93977.2,5845.690734630678,1.168904366052925,0.0,-0.4103032921877415,0.46969744929440155,0.0,0.0,0.2209555555555554,0.0,0.39141899827606175,,
2025-01-01 17:00:00+00:00,sell,0.062190054264274125,94136.3406715896,30,94137.8,,1.1708688269212706,0.0,0.3200643681085734,-0.07004122081988297,0.0,0.0,0.22987777777777793,0.0,0.45528551912606585,5853.173265779432,1.0
2025-01-01 17:05:00+00:00,buy,0.053658448211850604,93978.40055627811,30,93952.0,5043.743686309457,1.0085470278563202,0.0,-0.6179729942929835,-0.34270778103400007,0.0,0.0,0.21955555555555556,0.0,0.6052273844597641,,
2025-01-01 17:18:00+00:00,buy,0.04222749984978135,93820.7254298099,31,93758.6,3962.6070319274736,0.792362933798735,0.0,-1.7666411185553448,-0.7933072976316072,0.0,0.0,0.20881111111111145,0.0,0.8044445315954709,,
2025-01-01 17:27:00+00:00,sell,0.04222749984978135,93978.40055627811,31,93972.7,,0.7936945790745852,0.0,-0.7242971807175514,-0.8606320720823087,0.0,0.0,0.2207055555555554,0.0,0.6013013312057021,3967.6792007938507,1.0
2025-01-01 17:54:00+00:00,sell,0.053658448211850604,94136.3406715896,30,94116.9,,1.0102419921559234,0.0,0.006492696180473417,-0.7638070489057186,0.0,0.0,0.22871666666666635,0.0,0.47636540506260083,5050.19971878746,1.0
2025-01-01 18:08:00+00:00,buy,0.04705278883481312,93978.40055627811,30,93967.8,4422.830225575319,0.8843891672816075,0.0,-0.9990524961414734,-0.6087521941811215,0.0,0.0,0.2204333333333335,0.0,0.435353975958304,,
2025-01-01 18:20:00+00:00,sell,0.04705278883481312,94136.3406715896,30,94136.2,,0.8858754718604671,0.0,0.2644795080950301,-0.25158807482891055,0.0,0.0,0.22978888888888874,0.0,0.4108750536786445,4428.491483830475,1.0
2025-01-01 18:32:00+00:00,sell,0.06253827889115854,94294.54622108465,29,94301.0,,1.1794037258978862,0.0,1.4165919281870838,0.26004964061643393,0.0,0.0,0.23894444444444443,0.0,0.33832260796737945,5895.839225763533,1.0
2025-01-01 19:44:00+00:00,sell,0.06290082035615593,94453.017650852,28,94445.8,,1.1882344590706135,0.0,1.8564473331723235,0.8367670165290224,0.0,0.0,0.24698888888888906,0.0,0.5956302322581254,5939.984060893997,1.0
2025-01-01 19:46:00+00:00,buy,0.06284159187770841,94426.4,26,94635.9,5935.092072339501,1.186781058256249,0.0,3.00798703983042,0.8449745024533307,0.0,0.0,0.25754999999999967,0.0,1.0,,
2025-01-01 19:48:00+00:00,sell,0.06284159187770841,94770.75993930826,26,94753.4,,1.1911090836092575,0.0,3.5722043517356696,0.8698622368585652,0.0,0.0,0.26407777777777747,0.0,1.0,5954.354308962678,1.0
2025-01-01 19:54:00+00:00,sell,0.06206394228928505,94693.7,27,94616.9,,1.1754128663917744,0.0,2.4020167511666215,0.9300896225968109,0.0,0.0,0.25649444444444414,0.0,1.0,5875.88891909248,2.0
2025-01-01 19:55:00+00:00,buy,0.0632523049857151,94611.75540773007,26,94659.2,5985.608490605279,1.1968823216567246,0.0,2.5896977488444026,0.9357925626778506,0.0,0.0,0.25884444444444427,0.0,1.0,,
2025-01-01 20:04:00+00:00,sell,0.0632523049857151,94770.75993930826,26,94783.2,,1.1988938022818234,0.0,2.9127872169210076,0.9611245373073158,0.0,0.0,0.26573333333333315,0.0,1.0,5993.270117606836,1.0
2025-01-01 20:20:00+00:00,buy,0.06323665574995022,94611.75540773007,26,94602.4,5984.1275928184405,1.1965862013234236,0.0,1.6085207947698514,0.987440010435996,0.0,0.0,0.2556888888888886,0.0,1.0,,
2025-01-01 20:30:00+00:00,sell,0.06323665574995022,94770.75993930826,26,94789.4,,1.198597184288642,0.0,2.145992157559145,0.9937049936671151,0.0,0.0,0.26607777777777747,0.0,0.7866563076826023,5991.787324258921,1.0
2025-01-01 21:21:00+00:00,buy,0.06316024130708292,94884.9,24,94993.5,5994.1517710345115,1.1985906360796865,0.0,1.956681806998789,0.9808372745594369,0.0,0.0,0.27741666666666664,0.0,0.9090190978807338,,
2025-01-01 21:23:00+00:00,sell,0.06316024130708292,95089.5711206849,24,95139.4,,1.2011760515538963,0.0,2.384017192266043,0.9832142931039893,0.0,0.0,0.2855222222222219,0.0,1.0,6004.679081717927,1.0
2025-01-01 21:30:00+00:00,sell,0.046181711976874006,94955.8,25,94845.8,,0.8770442812267306,0.0,1.3136918349504079,0.9846729928669282,0.0,0.0,0.2692111111111113,0.0,1.0,4384.344361852426,1.0
2025-01-01 21:36:00+00:00,buy,0.063494857585973,94770.75993930826,25,94780.1,6018.659396841946,1.2034911811321627,0.0,1.0423279143470683,0.9799035532648003,0.0,0.0,0.2655611111111114,0.0,1.0,,
2025-01-01 21:51:00+00:00,buy,0.06303963707310715,94845.0,24,94923.8,5980.190177074487,1.1957988756397695,0.0,1.3980939117821145,0.9615166312855066,0.0,0.0,0.2735444444444446,0.0,0.9485539843944816,,
2025-01-01 21:52:00+00:00,sell,0.063494857585973,94930.03169392818,25,94893.0,,1.2055137686075745,0.0,1.28426604262436,0.9597699790662744,0.0,0.0,0.2718333333333333,0.0,1.0,6026.363329269265,1.0
2025-01-01 22:08:00+00:00,buy,0.06309491369475861,94770.75993930826,25,94760.0,5980.748829741174,1.1959105838314685,0.0,0.6761548786835639,0.9209415172851414,0.0,0.0,0.2644444444444444,0.0,0.8344372928928515,,
2025-01-01 22:44:00+00:00,sell,0.06309491369475861,94930.03169392818,25,94954.5,,1.1979204313538196,0.0,1.2366667963474964,0.6153881523978755,0.0,0.0,0.27525,0.0,0.2559775660372898,5988.404236337744,1.0
2025-01-01 23:01:00+00:00,buy,0.06309144695393652,94770.75993930826,25,94737.3,5980.420218369819,1.195844874699024,0.0,0.1521661346588132,0.42132271981580866,0.0,0.0,0.2631833333333335,0.0,0.3365149509624208,,
2025-01-01 23:08:00+00:00,sell,0.06309144695393652,94930.03169392818,25,94923.9,,1.1978546117905964,0.0,0.9942982413218153,0.35603348324785106,0.0,0.0,0.2735499999999997,0.0,0.7738982328651164,5988.075204341191,1.0
2025-01-01 23:16:00+00:00,buy,0.06309837094416572,94770.75993930826,25,94742.3,5981.076541424015,1.1959761130621906,0.0,0.030095899902399942,0.36341559045226346,0.0,0.0,0.26346111111111126,0.0,0.8247877078360488,,
2025-01-01 23:28:00+00:00,buy,0.06277426564447972,94611.75540773007,26,94647.0,5940.371303748799,1.1878366934110776,0.0,-0.7113157240741786,0.06187497079797134,0.0,0.0,0.25816666666666666,0.0,0.6142360873825929,,
2025-01-02 00:05:00+00:00,buy,0.0435513887340372,94453.017650852,27,94516.6,4114.3828008328965,0.8227120177630266,0.0,-2.4257187899950265,-0.7561251913791833,0.0,0.0,0.25092222222222255,0.0,0.5481352712679765,,
