timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,funding_rate,vol_score,proceeds,matched_trades
2024-12-30 17:52:00+00:00,buy,0.07650522574978146,93820.7254298099,31,93963.9,7179.211334171671,1.4355551558031738,0.0,3.0868747399789496,0.9999275994046054,0.0,0.0,0.22021666666666634,0.0,0.0,,
2024-12-30 17:53:00+00:00,sell,0.04023275184375654,93978.40055627811,31,93917.3,,0.7562019336507778,0.0,2.9454964491908924,0.9999557766598993,0.0,0.0,0.21762777777777795,0.0,0.0,3780.253466320238,2.0
2024-12-30 17:54:00+00:00,buy,0.07588355068842272,93820.7254298099,31,93800.1,7120.873663732325,1.4238899547555142,0.0,2.684897189569679,0.9999718777666836,0.0,0.0,0.21111666666666698,0.0,0.0,,
2024-12-30 17:55:00+00:00,sell,0.04013702366822151,93800.9,33,93642.1,,0.7529777886800958,0.0,2.3643739013517737,0.9999806192528795,0.0,0.0,0.2023388888888892,0.0,0.0,3764.1359656117984,2.0
2024-12-30 17:56:00+00:00,buy,0.07556312465593443,93642.1,32,93717.0,7077.304853278546,1.4151779350686955,0.0,2.4634516597026037,0.9999865687175513,0.0,0.0,0.2065,0.0,0.0,,
2024-12-30 17:59:00+00:00,sell,0.040233087793768496,93820.7254298099,32,93829.4,,0.7549394966185181,0.0,2.552741063674934,0.9999956215253021,0.0,0.0,0.21274444444444413,0.0,0.0,3773.9425435959715,2.0
2024-12-30 18:05:00+00:00,buy,0.07508725587743251,93663.31484759186,32,93629.2,7034.327872547311,1.4065842576579306,0.0,2.036761109457285,0.9999993463411645,0.0,0.0,0.20162222222222206,0.0,0.0,,
2024-12-30 18:07:00+00:00,sell,0.04026611026116746,93820.7254298099,32,93862.5,,0.7555591349878887,0.0,2.3529879927363835,0.9999997084203252,0.0,0.0,0.21458333333333332,0.0,0.0,3777.0401158044556,2.0
2024-12-30 18:08:00+00:00,sell,0.04028115653951684,93978.40055627811,31,93959.7,,0.757111732828171,0.0,2.469717620592079,0.9999998121327162,0.0,0.0,0.21998333333333317,0.0,0.0,3784.801552408027,1.0
2024-12-30 18:10:00+00:00,sell,0.04039939520844713,94136.3406715896,30,94180.3,,0.7606102460537127,0.0,2.7186045386131417,0.9999999250133256,0.0,0.0,0.23223888888888905,0.0,0.0,3802.29062002251,2.0
2024-12-30 18:13:00+00:00,buy,0.07654289614062715,94224.0,27,94568.0,7213.620281523643,1.4424355691908906,0.0,3.1263366417018976,0.9999999823076047,0.0,0.0,0.25377777777777777,0.0,0.0,,
2024-12-30 18:14:00+00:00,buy,0.07545106820426219,94568.0,26,94424.1,7136.683669264255,1.4270513235881335,0.0,2.860210823507967,0.999999989495299,0.0,0.0,0.24578333333333366,0.0,0.0,,
2024-12-30 18:18:00+00:00,sell,0.0405013583540104,94611.75540773007,27,94543.0,,0.7663809220540915,0.0,2.813986334397885,0.9999999985094525,0.0,0.0,0.2523888888888889,0.0,0.0,3831.138229348403,1.0
2024-12-30 18:19:00+00:00,buy,0.07544847098248234,94453.017650852,27,94498.1,7127.761028590486,1.4252671522876397,0.0,2.7047426815065005,0.9999999990804879,0.0,0.0,0.24989444444444478,0.0,0.0,,
2024-12-30 18:20:00+00:00,sell,0.04056907978604161,94611.75540773007,27,94615.3,,0.767662370766731,0.0,2.8076526382772835,0.9999999994256525,0.0,0.0,0.2564055555555557,0.0,0.0,3837.544191462888,1.0
2024-12-30 18:26:00+00:00,buy,0.07511513699975121,94453.017650852,27,94481.8,7096.270331155843,1.4189702721767334,0.0,2.378931665924358,0.9999999999466638,0.0,0.0,0.24898888888888904,0.0,0.0,,
2024-12-30 18:42:00+00:00,buy,0.07414391037132885,94294.54622108465,28,94259.5,6992.76465679793,1.3982732767042452,0.0,1.7254945880936496,0.9999999999876362,0.0,0.0,0.2366388888888889,0.0,0.0,,
2024-12-30 18:43:00+00:00,sell,0.04040859689157218,94294.54622108465,29,94286.6,,0.7620620614643062,0.0,1.735207272254322,0.9999999999840269,0.0,0.0,0.23814444444444477,0.0,0.0,3809.5482452600663,1.0
2024-12-30 18:45:00+00:00,sell,0.04052087223307681,94453.017650852,28,94481.5,,0.7654637320517444,0.0,1.8950304397711661,0.9999999999728991,0.0,0.0,0.24897222222222223,0.0,0.0,3826.5531965266705,1.0
2024-12-30 18:55:00+00:00,sell,0.040576867136588556,94611.75540773007,27,94619.0,,0.7678097257477755,0.0,1.8184114936238978,0.9999999998162946,0.0,0.0,0.2566111111111111,0.0,0.0,3838.2808190131295,1.0
2024-12-30 19:06:00+00:00,buy,0.07484340015037654,94453.017650852,27,94464.6,7070.598832452384,1.4138369990906587,0.0,1.4846981895648943,0.9999999994815891,0.0,0.0,0.24803333333333366,0.0,0.0,,
2024-12-30 19:08:00+00:00,buy,0.07409312648330672,94294.54622108465,28,94346.9,6987.975055392805,1.3973155479689674,0.0,1.351580013281562,0.9999999992100341,0.0,0.0,0.24149444444444412,0.0,0.0,,
