timestamp,direction,size,price,level,market_price,cost,commission,slippage,proceeds,matched_trades
2025-08-01 17:22:00+00:00,sell,0.05856166621631229,114776.78916086003,12,114796.0,,1.344304003243667,0.0,6720.175712215092,1.0
2025-08-01 17:25:00+00:00,buy,0.0585849237849856,114593.43965740818,12,114616.0,6714.790618174322,1.342689585717721,0.0,,
2025-08-01 17:30:00+00:00,sell,0.05860358159800928,114776.78916086003,12,114886.4,,1.3452661858291937,0.0,6724.985662960139,1.0
2025-08-01 17:31:00+00:00,sell,0.058521697323388265,114960.43202351741,11,114928.1,,1.3455359214092475,0.0,6726.3340711248275,1.0
2025-08-01 17:36:00+00:00,buy,0.05855909475479344,114776.78916086003,11,114767.2,6722.569117096175,1.3442449744243503,0.0,,
2025-08-01 17:37:00+00:00,buy,0.058551099820954605,114593.43965740818,12,114505.0,6710.913838592286,1.341914384841489,0.0,,
2025-08-01 17:42:00+00:00,sell,0.0585607490955899,114776.78916086003,12,114762.1,,1.3442829504093095,0.0,6720.0704690961375,1.0
2025-08-01 17:44:00+00:00,buy,0.05853380307479808,114593.43965740818,12,114448.5,6708.931348536601,1.3415179661140975,0.0,,
2025-08-01 17:56:00+00:00,buy,0.058609179737141796,114410.38304453691,13,114417.5,6706.839803393234,1.3410997407305008,0.0,,
2025-08-01 18:03:00+00:00,buy,0.05864966942337281,114227.61885436991,14,114300.0,6700.751967244788,1.3398824169655645,0.0,,
2025-08-01 18:15:00+00:00,buy,0.05863133792889963,114045.14661977826,15,114064.0,6687.956854521247,1.3373239061230249,0.0,,
2025-08-01 18:16:00+00:00,buy,0.05860224441368039,113862.96587437924,16,113825.6,6673.959880908089,1.3345250711673844,0.0,,
2025-08-01 18:17:00+00:00,buy,0.05873172105508083,113681.07615253518,17,113894.3,6678.020590882865,1.3353370507664197,0.0,,
2025-08-01 18:18:00+00:00,sell,0.058674106846803464,114227.61885436991,15,114270.5,,1.3404407027034484,0.0,6700.863072814538,1.0
2025-08-01 18:19:00+00:00,sell,0.05849145238826347,114271.8,16,113768.2,,1.3367847098042331,0.0,6682.586764311362,1.0
2025-08-01 18:20:00+00:00,buy,0.05850264566101192,113768.2,15,113760.0,6657.071840229554,1.3311481384182273,0.0,,
