timestamp,direction,size,price,level,market_price,proceeds,commission,slippage,leg,cost,matched_trades,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,funding_rate,vol_score
2025-02-06 14:33:00+00:00,sell,0.03368321981515487,98505.22256062478,3,98426.6,3317.309469837387,0.6635946128900554,0.0,,,1.0,-0.7257259708990254,-0.49049680182685473,0.0,0.0,0.46814444444444475,0.0,1.0
2025-02-06 14:34:00+00:00,sell,0.03168431938772223,98439.9,5,98650.0,3118.377431849018,0.6238002464190875,0.0,,,1.0,0.1873221163700302,-0.48397747887144466,0.0,0.0,0.48055555555555557,0.0,1.0
2025-02-06 14:35:00+00:00,sell,0.03053533233320221,98669.87300891151,2,98622.1,3012.3147801292516,0.6025834727203944,0.0,,,1.0,0.07740494558587162,-0.4865140400192658,0.0,0.0,0.4790055555555559,0.0,1.0
2025-02-06 14:36:00+00:00,sell,0.038865869294329974,98834.79866869887,1,98849.7,3840.5321067157106,0.7682600733578138,0.0,,,1.0,1.0066049664421326,-0.4482200011567588,0.0,0.0,0.49164999999999986,0.0,1.0
2025-02-06 14:38:00+00:00,buy,0.03197748637071117,98669.87300891151,1,98625.8,,0.631042903868454,0.0,,3155.8455622461383,,0.09288906728719516,-0.44401780887225933,0.0,0.0,0.47921111111111125,0.0,1.0
2025-02-06 14:39:00+00:00,buy,0.031762437524118156,98505.22256062478,2,98614.9,,0.6257531954762398,0.0,,3129.391730576675,,0.04951538413843506,-0.45491208094682,0.0,0.0,0.47860555555555523,0.0,1.0
2025-02-06 14:41:00+00:00,buy,0.03099998762941985,98340.84686459317,3,98263.0,,0.6097130072538121,0.0,,3049.174749276314,,-1.3723432193907243,-0.5005865216298679,0.0,0.0,0.45905555555555555,0.0,1.0
2025-02-06 14:42:00+00:00,buy,0.030034072204961283,98176.7454623375,4,98013.9,,0.5897294924127898,0.0,,2949.237191556362,,-2.348671490147083,-0.5596501100324779,0.0,0.0,0.4452166666666663,0.0,1.0
2025-02-06 14:43:00+00:00,buy,0.029004987699653314,97849.36370906132,6,97877.9,,0.5676239181600454,0.0,,2838.6872147183867,,-2.8357357513942874,-0.6265172186021568,0.0,0.0,0.4376611111111108,0.0,1.0
2025-02-06 14:44:00+00:00,buy,0.02837666962828894,97878.1,5,98120.8,,0.5554909015089255,0.0,,2778.0099984461367,,-1.8507660040921665,-0.6596634163889351,0.0,0.0,0.4511555555555557,0.0,1.0
2025-02-06 14:45:00+00:00,sell,0.029004987699653314,98122.3,6,98205.9,2845.46689734078,0.5692072209123386,0.0,,,1.0,-1.5010450670934636,-0.6810737332221535,0.0,0.0,0.45588333333333303,0.0,1.0
2025-02-06 14:46:00+00:00,sell,0.02837666962828894,98205.9,5,98182.9,2786.1990285728107,0.5573512759697561,0.0,,,2.0,-1.5757779446446794,-0.7085781219881163,0.0,0.0,0.4546055555555552,0.0,1.0
2025-02-06 14:47:00+00:00,sell,0.030034072204961283,98340.84686459317,4,98293.9,2952.985380209146,0.5907152190856464,0.0,,,1.0,-1.131045479907331,-0.7142978668922094,0.0,0.0,0.4607722222222219,0.0,1.0
2025-02-06 14:51:00+00:00,buy,0.026860729499277102,98176.7454623375,4,98044.3,,0.5274198005966457,0.0,,2637.626422783825,,-2.0630783120764904,-0.7650535374747064,0.0,0.0,0.4469055555555557,0.0,1.0
2025-02-06 14:52:00+00:00,buy,0.02651634886203957,98012.91789614366,5,98077.3,,0.5197889447841173,0.0,,2599.4645128653706,,-1.914312760818455,-0.7857584806022272,0.0,0.0,0.4487388888888891,0.0,1.0
2025-02-06 20:41:00+00:00,buy,0.026798131884190272,96712.10079058754,13,96691.7,,0.5183407263566534,0.0,,2592.221972509624,,0.851183857230243,-0.7821608133334464,0.0,0.0,0.37176111111111093,0.0,0.5116345916492449
