funding_gate_minutes,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,output_dir
90,4.643151121230238,3.69406503393553,-0.20847700542195172,0.3662834229045408,298.0,16.669183445190153,run\results_lean_taogrid_funding_gate_sweep_2025-09-09_to_2025-10-09\gate_090
60,4.553307504541368,2.6785227036871175,-0.2280107036688722,0.3598248778928735,309.0,11.881391585760518,run\results_lean_taogrid_funding_gate_sweep_2025-09-09_to_2025-10-09\gate_060
45,4.255540499111794,2.4056198396419837,-0.25135070781937247,0.34580809912282506,313.0,13.652981895633653,run\results_lean_taogrid_funding_gate_sweep_2025-09-09_to_2025-10-09\gate_045
30,4.2402604234790555,2.9789783706424666,-0.25135070781937185,0.3446484876526508,344.0,13.805038759689923,run\results_lean_taogrid_funding_gate_sweep_2025-09-09_to_2025-10-09\gate_030
15,4.228431272058392,3.3240656146141174,-0.25817362460088555,0.3445981082302262,319.0,12.444043887147334,run\results_lean_taogrid_funding_gate_sweep_2025-09-09_to_2025-10-09\gate_015
180,1.5499851863548766,0.0,-0.12007360062731358,0.03235934105346925,308.0,23.546969696969697,run\results_lean_taogrid_funding_gate_sweep_2025-09-09_to_2025-10-09\gate_180
120,1.1916947236060658,0.5500368518885428,-0.14775750753413314,0.024180488262548608,360.0,20.353194444444444,run\results_lean_taogrid_funding_gate_sweep_2025-09-09_to_2025-10-09\gate_120
