timestamp,direction,size,price,level,market_price,cost,commission,slippage,leg,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,funding_rate,vol_score,proceeds,matched_trades
2025-01-10 03:30:00+00:00,sell,0.05760529645562499,93577.00273339677,35,93593.8,,1.0781061967772303,0.0,,1.633785133613008,0.9981563216157884,0.0,0.0,0.19965555555555572,0.0,0.0,5389.452877689374,1.0
2025-01-10 03:37:00+00:00,buy,0.057640492918253974,93426.50449612852,35,93427.5,5386.226800740476,1.0770299541572639,0.0,,1.1521134838840312,0.9956631385674466,0.0,0.0,0.19041666666666668,0.0,0.0,,
2025-01-10 03:42:00+00:00,sell,0.057640492918253974,93577.00273339677,35,93583.4,,1.078764912673158,0.0,,1.5110438117519478,0.9943457714574165,0.0,0.0,0.19907777777777746,0.0,0.0,5392.745798453117,1.0
2025-01-10 03:47:00+00:00,sell,0.05793255473138505,93727.74340421794,34,93685.2,,1.085977524922814,0.0,,1.739141958488234,0.9935221997697847,0.0,0.0,0.20473333333333318,0.0,0.0,5428.801647089147,1.0
2025-01-10 04:11:00+00:00,sell,0.05856373316150476,93878.72689912168,33,93894.7,,1.0995777423323885,0.0,,1.9663706208729772,0.9925700373780906,0.0,0.0,0.21637222222222205,0.0,0.0,5496.789133919609,1.0
2025-01-10 04:14:00+00:00,buy,0.058543457963770924,93727.74340421794,33,93712.8,5488.243635265145,1.0974292412047881,0.0,,1.4390451168660585,0.993103174923096,0.0,0.0,0.20626666666666682,0.0,0.09721101068206164,,
2025-01-10 04:17:00+00:00,buy,0.05812779919538939,93577.00273339677,34,93591.3,5440.513109238131,1.0878850448386583,0.0,,1.0913527460230872,0.9924338072158263,0.0,0.0,0.19951666666666684,0.0,0.09641010642342558,,
2025-01-10 04:20:00+00:00,sell,0.05812779919538939,93727.74340421794,34,93761.9,,1.0896374895274727,0.0,,1.5056595424255637,0.9922794491225637,0.0,0.0,0.20899444444444412,0.0,0.12925850704998296,5447.097810147836,1.0
2025-01-10 04:27:00+00:00,buy,0.0581009398787172,93577.00273339677,34,93567.9,5437.99919220561,1.0873823619687282,0.0,,0.9357911851528491,0.9897371039251243,0.0,0.0,0.19821666666666635,0.0,0.0,,
2025-01-10 04:40:00+00:00,sell,0.0581009398787172,93727.74340421794,34,93753.5,,1.0891339968992597,0.0,,1.3691117113603763,0.9804205625122904,0.0,0.0,0.20852777777777778,0.0,0.0,5444.580850499399,1.0
2025-01-10 05:07:00+00:00,sell,0.058543457963770924,93878.72689912168,33,93850.3,,1.0991970603822123,0.0,,1.4091220511706226,0.9590843463103083,0.0,0.0,0.2139055555555557,0.0,0.0,5494.88610485068,1.0
2025-01-10 05:15:00+00:00,buy,0.05860353123865119,93727.74340421794,33,93749.0,5493.875293865072,1.098555347703474,0.0,,1.0371495163484534,0.9465104930366038,0.0,0.0,0.20827777777777778,0.0,0.0,,
2025-01-10 05:30:00+00:00,sell,0.05860353123865119,93878.72689912168,33,93922.7,,1.1003249808954962,0.0,,1.618730917121068,0.9347677965506397,0.0,0.0,0.2179277777777776,0.0,0.0,5500.524579496586,1.0
2025-01-10 05:35:00+00:00,sell,0.05899425069651202,94029.95360926678,32,94090.8,,1.109445331241296,0.0,,2.2179697135000307,0.9587033813394479,0.0,0.0,0.22726666666666684,0.0,0.0,5546.117210875238,1.0
2025-01-10 05:36:00+00:00,sell,0.05939007306151613,94181.4239264421,31,94206.0,,1.1186883296058039,0.0,,2.6323582814489024,0.9638556498067765,0.0,0.0,0.23366666666666666,0.0,0.041844663665232096,5592.322959699413,1.0
2025-01-10 05:46:00+00:00,buy,0.059555831538110636,94029.95360926678,31,94086.3,5601.1520831051885,1.12000641533797,0.0,,1.9487030527458635,0.9831843598583047,0.0,0.0,0.22701666666666684,0.0,0.21106105379227807,,
2025-01-10 06:31:00+00:00,buy,0.058923634321066454,93878.72689912168,32,93786.5,5532.782109485977,1.1063351548662221,0.0,,0.3114790278148819,0.9773069914360264,0.0,0.0,0.2103611111111111,0.0,0.0,,
2025-01-10 06:39:00+00:00,sell,0.058923634321066454,94029.95360926678,32,94017.9,,1.1081173203398558,0.0,,1.3072091278608642,0.9394353319530928,0.0,0.0,0.22321666666666634,0.0,0.026832852339510684,5539.478484378938,1.0
2025-01-10 06:45:00+00:00,sell,0.059555831538110636,94181.4239264421,31,94180.0,,1.1218106034765136,0.0,,1.9615930037784195,0.9104107449601762,0.0,0.0,0.23222222222222222,0.0,0.0,5607.931206779092,1.0
2025-01-10 06:57:00+00:00,sell,0.05988816726976495,94333.13824306766,30,94320.8,,1.1298877524365396,0.0,,2.349426782473669,0.9285615913564178,0.0,0.0,0.24004444444444462,0.0,0.0,5648.30887443026,1.0
2025-01-10 07:01:00+00:00,buy,0.05993909859585349,94181.4239264421,30,94176.1,5646.278684555813,1.1290299309249776,0.0,,1.6401337619167837,0.9373475588215704,0.0,0.0,0.23200555555555588,0.0,0.0,,
2025-01-10 07:20:00+00:00,sell,0.05993909859585349,94333.13824306766,30,94290.6,,1.130848654801502,0.0,,1.9096660359115747,0.9411120920255601,0.0,0.0,0.23836666666666698,0.0,0.0063377778474034245,5653.112425352709,1.0
2025-01-10 07:38:00+00:00,sell,0.060175808637688524,94485.09695219557,29,94520.5,,1.1371434226617536,0.0,,2.51654398964614,0.9860876768714855,0.0,0.0,0.2511388888888889,0.0,0.0,5684.579969886106,1.0
2025-01-10 07:40:00+00:00,sell,0.06069024228171695,94637.30044751114,28,94638.0,,1.1487121386094181,0.0,,2.9217792933006095,0.9888310922742932,0.0,0.0,0.25766666666666665,0.0,0.05335913589857189,5742.411980908481,1.0
2025-01-10 07:42:00+00:00,sell,0.0398465894981414,94942.44337461829,26,94903.0,,0.7566265134197899,0.0,,3.818616689807344,0.9916094250037506,0.0,0.0,0.2723888888888889,0.0,0.313174292496252,3782.37594058553,2.0
2025-01-10 07:43:00+00:00,sell,0.04270289073885841,94900.0,27,94755.4,,0.8105008662235327,0.0,,3.160340046460189,0.9926106254269316,0.0,0.0,0.2641888888888886,0.0,0.3913977947295415,4051.6938302514395,2.0
2025-01-10 07:44:00+00:00,buy,0.0614856225709344,94755.4,26,94815.3,5827.259979910109,1.1652189521915834,0.0,,3.3126312311238504,0.9936823522290061,0.0,0.0,0.26751666666666685,0.0,0.3981472087649455,,
2025-01-10 07:45:00+00:00,sell,0.0614856225709344,94942.44337461829,26,94807.6,,1.1675190478588184,0.0,,3.2054532657312915,0.9944256261398718,0.0,0.0,0.2670888888888892,0.0,0.4621079954791075,5836.427720246233,1.0
2025-01-10 07:48:00+00:00,buy,0.0614789149399481,94789.74912333382,26,94802.9,5828.736437717167,1.165514184706492,0.0,,2.9300089748633553,0.9963644404498311,0.0,0.0,0.26682777777777744,0.0,0.6144031383076436,,
2025-01-10 07:51:00+00:00,buy,0.06110306976936421,94637.30044751114,27,94703.8,5783.786097942961,1.1565259144057112,0.0,,2.450700372620431,0.997210446824478,0.0,0.0,0.2613222222222224,0.0,0.5951994188046442,,
2025-01-10 07:56:00+00:00,buy,0.06057967525978942,94485.09695219557,28,94471.8,5725.021265551778,1.1447752980507455,0.0,,1.5574616916589534,0.997498450687754,0.0,0.0,0.2484333333333335,0.0,0.5321209378707804,,
2025-01-10 08:07:00+00:00,sell,0.06057967525978942,94637.30044751114,28,94614.1,,1.1466193857146696,0.0,,1.8424700511097745,0.997612291774464,0.0,0.0,0.2563388888888892,0.0,0.3227198159730412,5731.950309187633,1.0
2025-01-10 08:37:00+00:00,buy,0.0606475782695592,94485.09695219557,28,94528.7,5731.438371177714,1.1460584625430341,0.0,,1.0896587041979928,0.9984779722835133,0.0,0.0,0.2515944444444443,0.0,0.1468673049786471,,
2025-01-10 08:48:00+00:00,sell,0.0606475782695592,94637.30044751114,28,94643.9,,1.1479046172220444,0.0,,1.3517274928772274,0.9886193787473331,0.0,0.0,0.25799444444444414,0.0,0.0,5738.375181493,1.0
2025-01-10 09:13:00+00:00,sell,0.06110306976936421,94789.74912333382,27,94769.0,,1.1583889308207191,0.0,,1.470170651279216,0.9667298017653981,0.0,0.0,0.2649444444444444,0.0,0.0,5790.7862651727755,1.0
2025-01-10 09:27:00+00:00,sell,0.0614789149399481,94942.44337461829,26,94926.3,,1.1673916800837996,0.0,,1.8006196916792068,0.9604668340651143,0.0,0.0,0.2736833333333335,0.0,0.0,5835.791008738914,1.0
2025-01-10 09:48:00+00:00,buy,0.06151141385821903,94789.74912333382,26,94816.6,5831.817618139709,1.1661302975684282,0.0,,1.1574248148348276,0.9827397724843395,0.0,0.0,0.2675888888888892,0.0,0.0,,
2025-01-10 09:55:00+00:00,sell,0.06151141385821903,94942.44337461829,26,94946.0,,1.1680087854253343,0.0,,1.4731996334488244,0.9822846186533427,0.0,0.0,0.2747777777777778,0.0,0.0,5838.875918341246,1.0
2025-01-10 09:59:00+00:00,buy,0.06148624357509898,94789.74912333382,26,94787.6,5829.431256140432,1.1656531206039658,0.0,,0.9627058483520184,0.9797920910947214,0.0,0.0,0.2659777777777781,0.0,0.0,,
2025-01-10 10:07:00+00:00,sell,0.06148624357509898,94942.44337461829,26,94946.5,,1.1675308397893644,0.0,,1.3829497552424816,0.9803481338983367,0.0,0.0,0.2748055555555556,0.0,0.0,5836.486668107033,1.0
2025-01-10 10:23:00+00:00,buy,0.06147330959446205,94789.74912333382,26,94770.5,5828.205002158937,1.1654079188480178,0.0,,0.6725981008981511,0.9683003410030993,0.0,0.0,0.26502777777777775,0.0,0.0,,
2025-01-10 10:40:00+00:00,sell,0.06147330959446205,94942.44337461829,26,94948.5,,1.1672852430445186,0.0,,1.2274486326861305,0.8889409388277437,0.0,0.0,0.27491666666666664,0.0,0.0,5835.258929979548,1.0
2025-01-10 10:56:00+00:00,sell,0.06150485442067736,95095.38359695545,25,95109.2,,1.169765544841843,0.0,,1.7599505725865559,0.875387491074331,0.0,0.0,0.2838444444444443,0.0,0.0,5847.657958664373,1.0
2025-01-10 10:58:00+00:00,sell,0.06193873959947011,95248.57018657343,24,95235.1,,1.1799152772016048,0.0,,2.227070714985871,0.8974379461552263,0.0,0.0,0.2908388888888892,0.0,0.0,5898.396470730822,1.0
2025-01-10 11:02:00+00:00,buy,0.06238106357384762,95095.38359695545,24,95119.5,5933.337599975052,1.186430233948221,0.0,,1.6964512392879945,0.9208115033030383,0.0,0.0,0.28441666666666665,0.0,0.0,,
2025-01-10 11:12:00+00:00,buy,0.06194947521137458,94942.44337461829,25,94960.5,5882.810869251719,1.17632690846865,0.0,,0.9704690933426746,0.9109391904072288,0.0,0.0,0.27558333333333335,0.0,0.0,,
2025-01-10 11:29:00+00:00,buy,0.06150775997163724,94789.74912333382,26,94795.9,5831.471197877098,1.1660610273699457,0.0,,0.03655936698576576,0.845623745594254,0.0,0.0,0.26643888888888856,0.0,0.0,,
2025-01-10 11:34:00+00:00,buy,0.061047885381690904,94637.30044751114,27,94618.8,5778.562551966416,1.1554814141104612,0.0,,-1.0457230526379964,0.7935137419297886,0.0,0.0,0.25660000000000016,0.0,0.0,,
2025-01-10 11:40:00+00:00,sell,0.061047885381690904,94789.74912333382,27,94791.8,,1.157342747968104,0.0,,-0.07400427966231443,0.6705959978410386,0.0,0.0,0.2662111111111113,0.0,0.04759905607541846,5785.556397092551,1.0
2025-01-10 11:56:00+00:00,sell,0.06150775997163724,94942.44337461829,26,94950.0,,1.1679394036413564,0.0,,0.8353726744146317,0.4144391417775898,0.0,0.0,0.275,0.0,0.0,5838.529078803141,1.0
2025-01-10 11:59:00+00:00,sell,0.06194947521137458,95095.38359695545,25,95065.4,,1.1782218217711498,0.0,,1.5351949996173127,0.30694209747771906,0.0,0.0,0.2814111111111108,0.0,0.0,5889.930887033977,1.0
2025-01-10 12:10:00+00:00,buy,0.06195808495792591,94942.44337461829,25,94955.1,5883.6284631122135,1.176490394543534,0.0,,0.7239681579716939,0.18298862127318563,0.0,0.0,0.27528333333333366,0.0,0.0,,
2025-01-10 12:22:00+00:00,buy,0.06148595820522049,94789.74912333382,26,94761.2,5829.404200591215,1.1656477105761278,0.0,,-0.6337399949774662,0.036899312796904435,0.0,0.0,0.264511111111111,0.0,0.0,,
2025-01-10 12:46:00+00:00,sell,0.06148595820522049,94942.44337461829,26,94934.3,,1.1675254210466588,0.0,,0.4799840676906946,0.03146734894565876,0.0,0.0,0.2741277777777779,0.0,0.024558387421817016,5836.459579812246,1.0
2025-01-10 13:14:00+00:00,buy,0.059813579141975805,94789.74912333382,26,94807.5,5670.848103868766,1.1339428322073117,0.0,,-1.0411576948413948,-0.07006512940989465,0.0,0.0,0.26708333333333334,0.0,0.0,,
2025-01-10 13:21:00+00:00,sell,0.059813579141975805,94942.44337461829,26,94920.4,,1.1357694701440577,0.0,,0.11054736841666558,-0.11589049846919049,0.0,0.0,0.27335555555555524,0.0,0.009894431196727485,5677.711581250144,1.0
2025-01-10 16:45:00+00:00,buy,0.04913080733365384,93865.4,32,93999.9,4612.60521927289,0.9223365765392703,0.0,,0.14297006167350057,-0.4994154921975394,0.0,0.0,0.22221666666666634,0.0,1.0,,
2025-01-10 16:46:00+00:00,buy,0.04832526631052115,93993.2,31,93993.3,4543.154870662353,0.9084492842756154,0.0,,0.1395408802641447,-0.5185073691063268,0.0,0.0,0.22185000000000016,0.0,1.0,,
2025-01-10 16:47:00+00:00,buy,0.04671295071095457,93993.2,30,93899.9,4391.577858708648,0.878139943752979,0.0,,0.00018097620983891782,-0.5681527621413056,0.0,0.0,0.21666111111111078,0.0,1.0,,
2025-01-10 16:48:00+00:00,buy,0.045110542807398804,93886.9,29,93943.8,4236.136079308271,0.8470578043007941,0.0,,0.07641539582251101,-0.6232534469637319,0.0,0.0,0.21910000000000016,0.0,1.0,,
2025-01-10 16:49:00+00:00,buy,0.04325645684888283,93943.9,28,93800.1,4064.4929926170767,0.8127360513131527,0.0,,-0.14416261776552,-0.6834328230194613,0.0,0.0,0.21111666666666698,0.0,1.0,,
2025-01-10 16:50:00+00:00,buy,0.042147523756462635,93800.1,27,93827.5,3954.232631497193,0.7906883886217143,0.0,,-0.09351541976102427,-0.7193578741500809,0.0,0.0,0.21263888888888888,0.0,1.0,,
2025-01-10 16:51:00+00:00,buy,0.04162418202050629,93727.74340421794,33,93789.4,3902.1209199588407,0.7802681303656951,0.0,,-0.14751342531142936,-0.7524889541667815,0.0,0.0,0.2105222222222219,0.0,1.0,,
2025-01-10 16:52:00+00:00,buy,0.04082844961324878,93799.6,26,93954.0,3830.458180791359,0.7659384484685782,0.0,,0.12552910234588133,-0.7610463307146018,0.0,0.0,0.21966666666666668,0.0,1.0,,
2025-01-10 16:53:00+00:00,sell,0.04162418202050629,93954.3,33,93883.4,,0.7821541769618509,0.0,,0.018415488589020423,-0.7674995256868837,0.0,0.0,0.21574444444444413,0.0,1.0,3909.988730632292,1.0
2025-01-10 16:55:00+00:00,buy,0.04084482724352625,93727.74340421794,33,93760.8,3829.0591459682923,0.7656586974541677,0.0,,-0.1682763535788406,-0.7769184636298021,0.0,0.0,0.2089333333333335,0.0,0.9840839257816415,,
2025-01-10 17:01:00+00:00,buy,0.04103910326041014,93577.00273339677,34,93582.0,3841.0843412311474,0.7680632555951105,0.0,,-0.4295428579250675,-0.7578613160604571,0.0,0.0,0.199,0.0,0.9540282404250449,,
2025-01-10 17:03:00+00:00,sell,0.04103910326041014,93727.74340421794,34,93708.8,,0.7693005079861851,0.0,,-0.1937264916731787,-0.7317296775355638,0.0,0.0,0.2060444444444446,0.0,0.9617763974528992,3845.733239422939,1.0
2025-01-10 17:04:00+00:00,buy,0.041803229463416774,93577.00273339677,34,93524.0,3912.6032819465167,0.7823641835525929,0.0,,-0.5142666078200541,-0.7232769076779945,0.0,0.0,0.19577777777777777,0.0,1.0,,
2025-01-10 17:11:00+00:00,buy,0.042494895632071795,93372.4,35,93504.8,3968.6439629946435,0.793570078583212,0.0,,-0.5023563783545073,-0.6885092515793902,0.0,0.0,0.19471111111111128,0.0,0.9017007210081129,,
2025-01-10 17:15:00+00:00,sell,0.042494895632071795,93577.00273339677,35,93548.8,,0.7953089929435586,0.0,,-0.39005114035340777,-0.7102633615270699,0.0,0.0,0.19715555555555572,0.0,0.7886187187417169,3975.749655724849,1.0
2025-01-10 17:17:00+00:00,sell,0.041803229463416774,93727.74340421794,34,93656.5,,0.7836244729229541,0.0,,-0.16428662973367972,-0.7259917436272658,0.0,0.0,0.2031388888888889,0.0,0.7891446721089822,3917.3387401418477,1.0
2025-01-10 17:20:00+00:00,sell,0.04084482724352625,93878.72689912168,33,93920.9,,0.7668920764073611,0.0,,0.40069513037210375,-0.6956911912391213,0.0,0.0,0.21782777777777745,0.0,0.7898774147475465,3833.6934899603984,1.0
2025-01-10 17:21:00+00:00,sell,0.04913080733365384,94029.95360926678,32,94126.5,,0.9239535068738589,0.0,,0.8393204090515146,-0.6388018590913184,0.0,0.0,0.22925,0.0,0.8445811531707837,4618.843580862421,1.0
2025-01-10 17:24:00+00:00,sell,0.04832526631052115,94181.4239264421,31,94196.3,,0.9102684785498807,0.0,,1.0433917566563242,-0.39684218679102456,0.0,0.0,0.23312777777777793,0.0,0.7745305530972437,4550.432124270853,1.0
2025-01-10 17:27:00+00:00,sell,0.04671295071095457,94333.13824306766,30,94279.3,,0.8813158474316166,0.0,,1.294072799175765,-0.03190988207969944,0.0,0.0,0.23773888888888906,0.0,0.6573040848142099,4405.6979213106515,2.0
2025-01-10 17:35:00+00:00,buy,0.06033502561593152,94181.4239264421,30,94163.1,5683.575112871819,1.1364877250293581,0.0,,1.0082571411276025,0.8172190356504319,0.0,0.0,0.23128333333333365,0.0,0.6473281052353149,,
2025-01-10 17:41:00+00:00,sell,0.06033502561593152,94333.13824306766,30,94370.3,,1.1383184624653393,0.0,,1.4252961539985172,0.9557109400909449,0.0,0.0,0.24279444444444462,0.0,0.658747554172566,5690.453993864231,1.0
2025-01-10 17:42:00+00:00,sell,0.045110542807398804,94485.09695219557,29,94457.1,,0.852454802144649,0.0,,1.6066045265352005,0.9635366877469742,0.0,0.0,0.24761666666666698,0.0,0.6585921727137631,4261.4215559211,1.0
2025-01-10 17:45:00+00:00,buy,0.06067852904816109,94333.13824306766,29,94308.4,5725.140868299994,1.1447992138172354,0.0,,1.231195303145,0.9745102215039478,0.0,0.0,0.23935555555555524,0.0,0.622514998242072,,
2025-01-10 17:48:00+00:00,sell,0.04325645684888283,94637.30044751114,28,94722.1,,0.818734860620505,0.0,,2.0977766919576974,0.9825281260811262,0.0,0.0,0.26233888888888923,0.0,0.7389364822060275,4092.8555682419046,2.0
2025-01-10 17:49:00+00:00,sell,0.042147523756462635,94789.74912333382,27,94838.1,,0.7990306406089692,0.0,,2.3165013570511017,0.9868709335381077,0.0,0.0,0.26878333333333365,0.0,0.7908669274192102,3994.3541724042366,2.0
2025-01-10 17:50:00+00:00,sell,0.06067852904816109,94844.2,29,94802.1,,1.15100130894992,0.0,,2.2067082019621047,0.9898695000578248,0.0,0.0,0.26678333333333365,0.0,0.8135998303750595,5753.85554344065,1.0
2025-01-10 17:51:00+00:00,sell,0.04082844961324878,94942.44337461829,26,94924.1,,0.7752705530958657,0.0,,2.431456168748925,0.9925818872521381,0.0,0.0,0.2735611111111114,0.0,0.8278068842246162,3875.5774949262327,1.0
2025-01-10 17:54:00+00:00,sell,0.06195808495792591,95095.38359695545,25,95049.8,,1.178385571201344,0.0,,2.569312738196701,0.9967785573465661,0.0,0.0,0.2805444444444446,0.0,0.7986950823267007,5890.749470435519,1.0
2025-01-10 17:56:00+00:00,sell,0.06276325994810485,95709.61213097392,21,95553.5,,1.2014094531417212,0.0,,3.4414721618640085,0.9987209933289865,0.0,0.0,0.3085277777777778,0.0,1.0,6005.845856255464,1.0
2025-01-10 17:57:00+00:00,sell,0.062402834536899994,95555.68405575679,22,95716.6,,1.1925891082383369,0.0,,3.643414031129012,0.9992809409523046,0.0,0.0,0.3175888888888892,0.0,1.0,5961.752952083446,1.0
2025-01-10 17:58:00+00:00,sell,0.04271303181850828,95719.7,23,95734.1,,0.8176957183516135,0.0,,3.562746719383607,0.9995805408476572,0.0,0.0,0.31856111111111146,0.0,1.0,4087.6608960397157,1.0
2025-01-10 17:59:00+00:00,sell,0.06238106357384762,95733.3,24,95814.2,,1.1943890146868454,0.0,,3.596266728478745,0.9997747965637247,0.0,0.0,0.32301111111111097,0.0,1.0,5970.75068441954,1.0
2025-01-10 18:00:00+00:00,buy,0.06362932970307755,95555.68405575679,21,95460.4,6081.360154612017,1.216028825157372,0.0,,2.885604489796048,0.9998640990464311,0.0,0.0,0.3033555555555552,0.0,1.0,,
2025-01-10 18:01:00+00:00,buy,0.06333734737381999,95402.00354033864,22,95454.9,6043.718340360512,1.2085019676785667,0.0,,2.81518657644236,0.9999177617341177,0.0,0.0,0.30304999999999965,0.0,1.0,,
2025-01-10 18:02:00+00:00,sell,0.06333734737381999,95555.68405575679,22,95639.4,,1.210448710916492,0.0,,3.0654458082063574,0.999951068023261,0.0,0.0,0.3132999999999997,0.0,1.0,6051.033105871544,1.0
2025-01-10 18:05:00+00:00,buy,0.06344851592230034,95402.00354033864,22,95576.8,6054.32616375666,1.210623108129706,0.0,,2.773639526883845,0.9999895299932752,0.0,0.0,0.3098222222222224,0.0,1.0,,
2025-01-10 18:06:00+00:00,sell,0.06344851592230034,95574.6,22,95649.3,,1.2128133059734973,0.0,,2.8316054865442037,0.999993747302988,0.0,0.0,0.3138500000000002,0.0,1.0,6062.8537165615135,1.0
2025-01-10 18:09:00+00:00,sell,0.06362932970307755,95709.61213097392,21,95574.1,,1.2179876932070821,0.0,,2.5583414857953075,0.999998753442743,0.0,0.0,0.30967222222222257,0.0,1.0,6088.720478342204,1.0
2025-01-10 18:10:00+00:00,buy,0.06380503966390637,95555.68405575679,21,95653.9,6098.1535981315255,1.2193868422578535,0.0,,2.633452087721077,0.9999992948591373,0.0,0.0,0.31410555555555525,0.0,1.0,,
2025-01-10 18:15:00+00:00,buy,0.06322916105368627,95402.00354033864,22,95314.8,6033.395084425759,1.206437729339284,0.0,,1.9646232357824285,0.9999999243953693,0.0,0.0,0.29526666666666684,0.0,1.0,,
