variant,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,sharpe_annualization_days
off,4.3041961324180456,3.350110088341808,-0.2614704624396761,0.3593473825136677,274,6.579197080291971,365
on,4.643151121230238,3.69406503393553,-0.20847700542195172,0.3662834229045408,298,16.669183445190153,365
