entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-10-14 11:43:00+00:00,2025-10-14 11:48:00+00:00,111321.88498402556,111500.0,0,0,0.009447418457747466,1.2617087717212598,0.001199440111977581,0.08333333333333333
2025-10-14 12:06:00+00:00,2025-10-14 12:07:00+00:00,110966.50808389638,111144.05449683062,2,2,0.013268902938680199,1.766413421027437,0.001199440111977681,0.016666666666666666
2025-10-14 12:05:00+00:00,2025-10-14 12:11:00+00:00,111144.05449683062,111321.88498402556,1,1,0.011355381546031761,1.5140959078548804,0.0011994401119776463,0.1
2025-10-14 12:43:00+00:00,2025-10-14 12:45:00+00:00,110789.24529143008,110966.50808389638,3,3,0.014251767657158139,1.8942258377398957,0.0011994401119775778,0.03333333333333333
2025-10-14 12:35:00+00:00,2025-10-14 12:53:00+00:00,110966.50808389638,111144.05449683062,2,2,0.013268837790996236,1.766404748287414,0.0011994401119775643,0.3
2025-10-14 12:16:00+00:00,2025-10-14 13:46:00+00:00,111144.05449683062,111321.88498402556,1,1,0.011355944800217295,1.5141710106468054,0.0011994401119776522,1.5
2025-10-14 12:55:00+00:00,2025-10-14 13:47:00+00:00,110966.50808389638,111218.7,2,2,0.009356427746532395,1.943843472125991,0.0018718560708734777,0.8666666666666667
2025-10-14 11:55:00+00:00,2025-10-14 14:14:00+00:00,111321.88498402556,111500.0,0,0,0.004685116612750695,0.6257003173176372,0.0011994401119776912,2.316666666666667
2025-10-14 15:15:00+00:00,2025-10-14 15:18:00+00:00,111144.05449683062,111321.88498402556,1,1,0.011356299447375262,1.5142182983411203,0.0011994401119777057,0.05
2025-10-14 15:21:00+00:00,2025-10-14 15:24:00+00:00,111144.05449683062,111321.88498402556,1,1,0.011356862750269819,1.5142934076275196,0.001199440111977509,0.05
2025-10-14 11:55:00+00:00,2025-10-14 15:25:00+00:00,111321.88498402556,111500.0,0,0,0.00944869856184382,1.2618797304410236,0.0011994401119773317,3.5
2025-10-15 14:53:00+00:00,2025-10-15 14:59:00+00:00,110966.50808389638,111144.05449683062,2,2,0.012517393434732304,1.666369244057023,0.0011994401119778256,0.1
2025-10-15 15:03:00+00:00,2025-10-15 15:04:00+00:00,110789.24529143008,110966.50808389638,3,3,0.011252535184959314,1.4955929257466778,0.0011994401119777922,0.016666666666666666
2025-10-15 15:00:00+00:00,2025-10-15 15:06:00+00:00,110966.50808389638,111144.05449683062,2,2,0.010709466350676825,1.4256902157853801,0.001199440111977996,0.1
2025-10-15 14:46:00+00:00,2025-10-15 15:26:00+00:00,111144.05449683062,111321.88498402556,1,1,0.0065989708936537595,0.8798889571110067,0.001199440111977747,0.6666666666666666
2025-10-15 14:46:00+00:00,2025-10-15 18:23:00+00:00,111144.05449683062,111321.88498402556,1,1,0.004624281518116934,0.616589208822802,0.001199440111977469,3.6166666666666667
2025-10-15 18:35:00+00:00,2025-10-15 18:53:00+00:00,111144.05449683062,111321.88498402556,1,1,0.0016111869181557655,0.21483131233236463,0.0011994401119775273,0.3
2025-10-15 18:35:00+00:00,2025-10-15 18:53:00+00:00,111144.05449683062,111321.88498402556,1,1,0.008773904555174641,1.1698887376921903,0.001199440111977743,0.3
2025-10-15 18:35:00+00:00,2025-10-15 18:53:00+00:00,111144.05449683062,111321.88498402556,1,1,0.0009723462954152069,0.12965002901377431,0.0011994401119772206,0.3
2025-10-15 19:11:00+00:00,2025-10-15 19:16:00+00:00,111144.05449683062,111321.88498402556,1,1,0.011357580033014385,1.514389048171779,0.0011994401119777192,0.08333333333333333
