timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,proceeds,matched_trades
2025-07-15 14:54:00+00:00,buy,0.4872063548757385,116068.47608039979,4,116096.0,56560.60900694285,11.309859829422685,0.0,-2.058628005410512,-0.4926915115066488,,
2025-07-15 15:07:00+00:00,sell,0.6256034470818501,116254.18564212843,4,116244.0,,14.545803855081777,0.0,-1.5368204784848536,-0.999304583793712,72714.47347155379,1.0
2025-07-15 16:06:00+00:00,sell,0.6303097360291539,116813.09904153354,1,116797.1,,14.725686724323282,0.0,-0.46638792703698706,-0.9997045304715282,73613.70793489208,1.0
2025-07-15 16:09:00+00:00,sell,0.6320176833861261,117000.0,0,117055.3,,14.789213791235351,0.0,-0.11092852124871949,-0.9991827410624469,73931.27974238551,1.0
2025-07-15 18:27:00+00:00,buy,0.6226378760325181,116813.09904153354,0,116826.1,72746.80633197262,14.546451975999325,0.0,-0.19638896479172419,0.6108211581692999,,
2025-07-15 18:31:00+00:00,buy,0.6166693919122556,116626.4966468985,1,116538.0,71934.37476625323,14.383998153619922,0.0,-0.7721277574921099,0.29100126248866165,,
2025-07-15 18:36:00+00:00,buy,0.5521526505838191,116440.19233915584,2,116200.6,64305.61938672151,12.858552166910922,0.0,-1.441296438401257,-0.23244947882154687,,
2025-07-15 18:38:00+00:00,buy,0.48342427632984797,116068.47608039979,4,116263.1,56121.54111768631,11.222063810775108,0.0,-1.2860412739096576,-0.5108686268318336,,
2025-07-15 18:39:00+00:00,sell,0.6264269190796541,116263.0,4,116249.8,,14.566054578591567,0.0,-1.3023369956260493,-0.60989561804716,72815.70683837924,1.0
2025-07-15 18:41:00+00:00,buy,0.4204498786781318,116068.47608039979,4,116077.9,48810.73688169701,9.760195337271949,0.0,-1.6280321774844202,-0.7650380624580823,,
2025-07-15 18:42:00+00:00,sell,0.6266455570739494,116254.18564212843,4,116244.1,,14.57003378477798,0.0,-1.2795783333338377,-0.8158236203593322,72835.59889010512,1.0
2025-07-15 18:43:00+00:00,sell,0.6300553675733112,116440.19233915584,3,116540.9,,14.672753636910775,0.0,-0.6730814025686456,-0.8465001177853729,73349.09543091696,1.0
2025-07-15 18:45:00+00:00,sell,0.6289912966327352,116626.4966468985,2,116572.0,,14.671410269533206,0.0,-0.6005985526572858,-0.9014465707042029,73342.3799373965,1.0
2025-07-15 18:51:00+00:00,sell,0.6288482288551875,116813.09904153354,1,116664.0,,14.691542087870797,0.0,-0.4070911062014319,-0.962503268764829,73443.01889726611,1.0
2025-07-15 19:02:00+00:00,sell,0.6297420959148766,117000.0,0,116968.1,,14.735965044408115,0.0,0.14760877611631734,-0.9858065441501169,73665.08925699616,1.0
2025-07-15 19:45:00+00:00,buy,0.4301417559554251,116440.19233915584,2,116384.2,50095.80595431124,10.017157759310386,0.0,-1.8192463511574202,-0.7935793578679904,,
2025-07-15 21:13:00+00:00,buy,0.43176277664159946,116771.9,0,116812.5,50427.84332967072,10.083551955543037,0.0,-0.01018555232622701,-0.7782325192933338,,
2025-07-15 21:18:00+00:00,sell,0.6315238504882594,117000.0,0,117000.1,,14.77765810142527,0.0,0.5258549725600592,-0.5436220839270033,73873.51284902493,0.0
2025-07-21 01:39:00+00:00,buy,0.5886427666682834,116813.09904153354,0,116813.8,68774.93804006508,13.752237160580902,0.0,-1.4216256968929162,-0.15952540883410424,,
2025-07-21 01:46:00+00:00,sell,0.631911034446377,117000.0,0,116991.9,,14.786718206045222,0.0,-0.8307620988811085,-0.22560640776955676,73918.80431202006,1.0
2025-07-22 01:15:00+00:00,buy,0.4328510673997505,116813.09904153354,0,116700.1,50572.787141321845,10.112534921280114,0.0,-3.8206296463118314,-0.7802359520827581,,
2025-07-22 01:20:00+00:00,sell,0.6321587789109461,117000.0,0,116979.4,,14.792515426516138,0.0,-1.705759195055681,-0.9072597783200416,73947.78461715418,1.0
2025-07-22 03:17:00+00:00,buy,0.43856715210326225,116813.09904153354,0,116805.9,51240.63425263668,10.246077635000336,0.0,-2.0377230349998534,-0.7630903714712731,,
2025-07-22 03:26:00+00:00,sell,0.6326220830773165,117000.0,0,117016.0,,14.803356744009207,0.0,-1.1030888627874962,-0.9356136792515696,74001.98036330202,1.0
2025-07-22 04:48:00+00:00,buy,0.5434738967536789,116813.09904153354,0,116866.2,63497.56710200126,12.696974025595134,0.0,-1.1973743137631143,-0.3535403228340567,,
2025-07-22 04:59:00+00:00,buy,0.45104886798354304,116626.4966468985,1,116566.7,52614.770139327935,10.520849857894008,0.0,-2.0356581994327883,-0.7092800484720253,,
2025-07-22 05:00:00+00:00,sell,0.6344030194065704,116626.4966468985,2,116750.3,,14.797640323120534,0.0,-1.4338316557742856,-0.7314706618758302,73973.40397527955,1.0
2025-07-22 05:04:00+00:00,sell,0.4327578921392248,116813.09904153354,1,116816.0,,10.110358103092912,0.0,-1.1934492576932358,-0.8021645966358862,50541.680157361465,1.0
2025-07-25 05:24:00+00:00,buy,0.44329733233675794,115697.94646496893,6,115657.8,51298.848742966715,10.257718204952354,0.0,-0.7548710429953667,-0.7658837414929195,,
2025-07-25 05:31:00+00:00,buy,0.49935772113889815,115513.12546422616,7,115512.1,57693.90756766629,11.536474218689522,0.0,-0.8953961745596002,-0.539683867561736,,
