timestamp,direction,size,price,level,market_price,cost,commission,slippage,mr_z,trend_score,breakout_risk_down,breakout_risk_up,range_pos,funding_rate,proceeds,matched_trades
2025-09-10 12:37:00+00:00,buy,0.5552993846165245,113176.08890766521,9,113176.0,62859.1818462363,12.569322504746312,0.0,3.8772784920049137,0.9269792313210036,0.0,0.0,0.386,0.0001,,
2025-09-10 12:38:00+00:00,sell,0.5552993846165245,113177.3,10,113257.2,,12.569457008511957,0.0,4.1155391746024215,0.9422125598510429,0.0,0.0,0.39107499999999984,0.0001,62834.71558555127,1.0
2025-09-10 12:49:00+00:00,buy,0.556052535760656,112995.29643337181,10,112934.7,62843.887375025566,12.566264222160683,0.0,1.9925222245583518,0.9922588876368169,0.0,0.0,0.3709187499999998,0.0001,,
2025-09-10 12:50:00+00:00,sell,0.556052535760656,112995.29643337181,11,113090.0,,12.566264222160683,0.0,2.536643096069064,0.9932879649939541,0.0,0.0,0.380625,0.0001,62818.75484658125,1.0
2025-09-10 12:59:00+00:00,buy,0.5541388596802582,113285.9,8,113419.9,62788.67466774053,12.555223888770353,0.0,3.1605390237734676,0.9985358305554477,0.0,0.0,0.4012437499999996,0.0001,,
2025-09-10 13:00:00+00:00,sell,0.5535627889175804,113538.54212295735,8,113409.9,,12.57014240544409,0.0,3.0532983791788255,0.998800731136265,0.0,0.0,0.40061874999999963,0.0001,62838.141884815006,0.0
2025-09-10 13:07:00+00:00,buy,0.5529979675614372,113642.2,6,113654.7,62856.47441033619,12.56878112584207,0.0,3.1961118162678197,0.9997381012992879,0.0,0.0,0.41591874999999984,0.0001,,
2025-09-10 13:08:00+00:00,sell,0.5531235146040927,113720.20379035409,7,113705.0,,12.580263760402865,0.0,3.2470422830518513,0.999793805877499,0.0,0.0,0.4190625,0.0001,62888.73853825392,0.0
2025-09-10 13:22:00+00:00,buy,0.5539822847980848,113538.54212295735,7,113522.3,62910.92064611509,12.579668195583903,0.0,2.08074969951433,0.9999798169099536,0.0,0.0,0.4076437500000002,0.0001,,
2025-09-10 13:40:00+00:00,sell,0.5537969641012229,113720.20379035409,7,113789.9,,12.595580723214097,0.0,2.16439115257165,0.9999641968628422,0.0,0.0,0.42436874999999963,0.0001,62965.30803534726,1.0
2025-09-10 13:42:00+00:00,buy,0.5526278306211412,113812.4,5,113906.1,62908.47888972753,12.579179941957115,0.0,2.3178327286814637,0.9999649619960544,0.0,0.0,0.43163125000000035,0.0001,,
2025-09-10 13:45:00+00:00,buy,0.5488762609576281,113991.4,4,114028.3,62579.68684800803,12.513434682665073,0.0,2.4269917163619636,0.999969141754181,0.0,0.0,0.4392687500000002,0.0001,,
