entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-11-20 23:37:00+00:00,2025-11-20 23:41:00+00:00,86826.34730538922,87000.0,0,0,0.0034621601148057814,0.48085050380143457,0.0015992801439714316,0.06666666666666667
2025-11-21 05:37:00+00:00,2025-11-21 05:44:00+00:00,85963.269198693,86135.19573709038,5,5,0.01223904390536855,1.6829523182643698,0.0015992801439710603,0.11666666666666667
2025-11-21 05:45:00+00:00,2025-11-21 05:48:00+00:00,85963.269198693,86135.19573709038,5,5,0.012239302825659378,1.682987921576796,0.001599280143971081,0.05
2025-11-21 06:29:00+00:00,2025-11-21 06:35:00+00:00,85620.44493716459,85791.68582703892,7,7,0.012623719509843912,1.7289252305192804,0.0015992801439712768,0.1
2025-11-21 11:49:00+00:00,2025-11-21 12:01:00+00:00,82266.50548475675,82431.03849572627,27,27,0.04625151037697753,6.086398231317162,0.0015992801439713518,0.2
2025-11-21 11:40:00+00:00,2025-11-21 12:38:00+00:00,82595.90057271773,82761.09237386317,25,25,0.046942117070878406,6.202011404241603,0.0015992801439713782,0.9666666666666667
2025-11-21 11:35:00+00:00,2025-11-21 12:39:00+00:00,82761.09237386317,82926.61455861089,24,24,0.0468164083696959,6.197773525476805,0.001599280143971422,1.0666666666666667
2025-11-21 11:41:00+00:00,2025-11-21 12:43:00+00:00,82431.03849572627,82760.7,26,26,0.048092984146401986,14.265492766597163,0.0035977205821712183,1.0333333333333334
2025-11-21 11:30:00+00:00,2025-11-21 12:49:00+00:00,82926.61455861089,83092.4677877281,23,23,0.037106760200427295,4.92218994585437,0.0015992801439709504,1.3166666666666667
2025-11-21 13:04:00+00:00,2025-11-21 13:28:00+00:00,83258.65272330356,83562.0,21,21,0.03000559237400145,8.101004231280967,0.003242055347890241,0.4
