segment,is_stress,start,end,days,support,resistance,total_return,annualized_return,max_drawdown,sharpe_ratio,total_trades,trades_per_day
A1_pre_range,False,2025-07-10T00:00:00+00:00,2025-07-15T00:00:00+00:00,5.0,107000.0,123000.0,0.025100616154229646,5.1087746258530755,-0.01106025829021186,22.462285601729977,22,4.4
A2_main_range_narrow,False,2025-07-15T00:00:00+00:00,2025-08-01T00:00:00+00:00,17.0,116000.0,123000.0,-0.004380135960444604,-0.08994538245953398,-0.01357073297157643,-2.04205482033239,25,1.4705882352941178
A3_range_wide,False,2025-08-01T00:00:00+00:00,2025-08-15T00:00:00+00:00,14.0,107000.0,123000.0,0.02263598341471836,0.7924299250731754,-0.028203942259576315,3.8931361148185797,35,2.5
B_mixed,False,2025-08-15T00:00:00+00:00,2025-10-09T00:00:00+00:00,55.0,107000.0,123000.0,0.020855668229110887,0.14680783120960617,-0.01745852627582083,2.414969133898639,73,1.3272727272727274
C_stress_1011,True,2025-10-09T00:00:00+00:00,2025-10-14T00:00:00+00:00,5.0,120000.0,126000.0,-0.005475798515550705,-0.3302372493727428,-0.018640447505923197,-5.546029251084372,19,3.8
D_post_stress_rebalance,False,2025-10-14T00:00:00+00:00,2025-11-03T00:00:00+00:00,20.0,107000.0,116000.0,0.006094692818045878,0.117272630517262,-0.009809013384310115,3.384445557512117,69,3.45
E_downtrend_range1,False,2025-11-03T00:00:00+00:00,2025-11-18T00:00:00+00:00,15.0,94000.0,108000.0,-0.0008984904176332929,-0.021635613185252978,-0.001449292451399361,-6.537551371320454,0,0.0
F_downtrend_range2,False,2025-11-18T00:00:00+00:00,2025-12-15T00:00:00+00:00,27.0,80000.0,94000.0,0.04454454220330241,0.8024553532412679,-0.08520792732386076,1.885546192065963,14,0.5185185185185185
