rank,score,violated,violation_reasons,weighted_sharpe,weighted_annualized_return,worst_non_stress_sharpe,worst_non_stress_annualized_return,stress_max_drawdown,min_return,grid_layers_buy,grid_layers_sell,weight_k,risk_budget_pct,leverage,inventory_skew_k,output_dir
2,0.4810246186218317,False,,3.734590284030933,0.06664381241508545,-6.5377921122030145,-0.013305624113652326,-0.013858045115505287,0.0016,80,80,0.0,0.3,10.0,0.0,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_02
1,0.269331903184982,False,,3.5218295672698976,0.0670918053208861,-6.538111433294948,-0.002148987676632075,-0.005131053063592375,0.0016,80,80,0.5,1.0,10.0,0.0,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_01
3,0.21418847823663428,False,,3.4613196034843403,0.0896906592436737,-6.538017276731766,-0.005451516927413191,-0.009212164341504863,0.0016,40,40,0.2,0.3,10.0,0.5,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_03
4,-0.39636396878393026,False,,2.819778882745325,0.21347895255118735,-6.538030998286737,-0.004970905236837075,-0.011883308309028423,0.0016,40,40,0.5,0.6,10.0,0.0,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_04
5,-0.431344645761689,False,,2.794129509163724,0.17757477264789517,-6.5379124309590395,-0.0091163260786713,-0.015471680638543822,0.0016,30,30,0.2,0.3,10.0,0.0,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_05
8,-1.056478477140829,False,,2.2031658130166103,0.04331372852095866,-6.538099034952801,-0.01423204811278278,-0.0071540711958979685,0.0008,60,60,0.2,0.3,10.0,1.0,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_08
6,-1.224024899355215,False,,2.0297211681320237,0.0795954223250539,-6.538080880002688,-0.04604483067158094,-0.008078557659115073,0.0012,80,80,0.5,0.3,50.0,1.0,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_06
7,-1.2505371793090194,False,,2.000623265444613,0.100256871721682,-6.537958830581964,-0.07245247393070942,-0.01063856722412952,0.0012,80,80,0.2,0.3,50.0,1.0,run\results_lean_taogrid_segmented_opt_btc\top_configs\rank_07
